Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
1,15829.126,0.41884568,0.016915355,12516.703,0.6099578,0.096870646,9909.4424,0.6030201,0.15823022,7835.48,0.7033798,0.20766139,6217.2461,0.79207045,0.1585612,4905.291,0.8979603,0.14277858,3881.2737,0.9352666,0.054899406,3070.9827,0.99733186,0.051693317,2430.7778,1.1310692,0.09905304,1923.1537,1.0506798,0.22393666,1522.4358,0.90387404,0.19111319,1203.8446,0.91896105,0.11339527,952.86591,1.0200073,0.099481344,754.27557,1.0361973,0.08691156,596.71857,1.1130664,0.07616182,471.96338,1.1592761,0.09582182,373.20856,1.1357625,0.15007706,295.47278,1.158658,0.21507311,233.87738,1.0663724,0.22691227,185.05922,1.018778,0.17601503,146.35823,1.0753772,0.080155164,115.77804,1.1075349,0.03131732,91.6721,1.2093706,-0.04724614,72.51701,1.3219153,-0.12230949,57.36816,1.4434621,-0.027234655,45.3629,1.4264863,0.15578198,35.93134,1.2698165,0.1987137,28.40909,1.1656317,0.21586648,22.48202,0.9924648,0.11867673,17.79613,0.9585253,0.027339932,14.06813,0.9594282,-0.11878179,11.1448,1.2668852,-0.31522,8.81772,1.4036556,-0.4006308,6.97545,1.8641351,-0.3161398,5.5173,2.0804033,0.043050136,4.36941,2.005454,0.47031912,3.45686,1.6810517,0.8678007,2.73547,1.0770692,1.0379021,2.16054,0.5146628,0.6336207,1.70952,0.5327165,-0.08640993,1.35352,1.0404912,-0.8686842,1.07079,2.0830352,-1.1359795,0.84734,3.2837574,-0.80478126,0.67072,4.064865,0.2638588,0.53067,4.2918706,1.4444598,0.41976,3.889179,2.699114,0.33183,2.8180985,3.3719854,0.26261,1.6141669,2.9918897,0.20791,1.1253346,1.054838,0.16452,2.9841633,-1.8409317,0.13007,7.8444524,-3.4659727,0.10309,16.078472,-0.5571482,0.08153,20.473013,7.621815,0.06443,15.259409,12.13461,0.05102,11.772451,13.056871,0.04042,9.572426,12.620765,0.03192,7.8759384,12.100349,0.02528,6.01271,11.523065,0.01999,3.1783197,10.206894,23,74
1,15829.126,0.54434067,0.008928704,12516.703,0.637604,-0.027164038,9909.4424,0.680634,-0.056558263,7835.48,0.74913806,-0.01519334,6217.2461,0.65979385,0.016829561,4905.291,0.4779636,0.04938962,3881.2737,0.5805826,0.07728478,3070.9827,0.69429183,-0.046332892,2430.7778,0.7384657,0.026987586,1923.1537,0.67304283,0.09647947,1522.4358,0.6455366,0.06086008,1203.8446,0.58466303,0.09665292,952.86591,0.6626116,-0.020161461,754.27557,0.5895806,-0.05427594,596.71857,0.67980224,-0.081792414,471.96338,0.71688914,-0.08070673,373.20856,0.63537353,0.066867225,295.47278,0.70614934,0.053574782,233.87738,0.6170815,-0.013454315,185.05922,0.6602697,-0.035095554,146.35823,0.64036435,-0.058134463,115.77804,0.4937251,-0.011894328,91.6721,0.44780046,0.024584193,72.51701,0.49710086,0.05443598,57.36816,0.5356506,0.011279556,45.3629,0.6538389,-0.016543683,35.93134,0.6866631,-0.031496402,28.40909,0.53869665,0.029564966,22.48202,0.5129166,0.094515756,17.79613,0.5664331,0.045865152,14.06813,0.78101355,0.099297196,11.1448,0.7920802,0.08863957,8.81772,0.7081981,0.15885493,6.97545,0.6895651,0.16513744,5.5173,0.720378,0.036506843,4.36941,0.6101006,0.006284016,3.45686,0.63660526,0.0111759035,2.73547,0.6952428,0.056418177,2.16054,0.6706129,0.0040172962,1.70952,0.7499455,-0.10451336,1.35352,0.74651337,-0.062034007,1.07079,0.93851674,-0.0579794,0.84734,1.0811045,0.10107609,0.67072,1.0949062,0.25344646,0.53067,0.88077265,0.4192395,0.41976,0.5633743,0.45560086,0.33183,0.49406728,0.20908926,0.26261,0.51991796,-0.11112918,0.20791,0.78481674,-0.31402248,0.16452,0.9075683,-0.3689374,0.13007,1.22684,-0.3170424,0.10309,1.5634402,-0.069565445,0.08153,1.8362021,0.38189903,0.06443,1.7432293,0.9648275,0.05102,1.2701312,1.4175805,0.04042,0.54488474,1.4508724,0.03192,-0.014420656,0.8357397,0.02528,0.030833159,-0.065053046,0.01999,0.6078187,-1.101945,41,78
1,15829.126,0.44018063,0.07462178,12516.703,0.42737564,0.10809213,9909.4424,0.47191137,0.12428038,7835.48,0.5529385,0.116295256,6217.2461,0.58277476,0.069496624,4905.291,0.52575153,-0.028406795,3881.2737,0.5400233,-0.022710603,3070.9827,0.53104305,-0.07102831,2430.7778,0.5878889,-0.004350585,1923.1537,0.45806512,0.10967973,1522.4358,0.40945235,0.10323376,1203.8446,0.46546754,0.14201197,952.86591,0.40155372,0.1692911,754.27557,0.40700158,0.13025439,596.71857,0.50213194,0.20799392,471.96338,0.42222175,0.23956221,373.20856,0.46519902,0.2503811,295.47278,0.5922823,0.2563058,233.87738,0.60969555,0.3023177,185.05922,0.5716182,0.26740712,146.35823,0.78491306,0.32511356,115.77804,0.7465129,0.4085848,91.6721,0.72299933,0.5298305,72.51701,0.8847405,0.61521065,57.36816,1.008818,0.76847064,45.3629,1.1009213,0.93374234,35.93134,1.1762975,1.1017568,28.40909,1.2744563,1.3614882,22.48202,1.4302454,1.6486177,17.79613,1.7553083,2.0213006,14.06813,2.4027066,2.7402754,11.1448,3.3163197,3.7212524,8.81772,4.562493,4.87327,6.97545,6.2985415,6.085394,5.5173,8.006475,7.0591025,4.36941,9.860157,7.904077,3.45686,11.820803,8.746389,2.73547,13.922639,9.82479,2.16054,16.179909,10.818912,1.70952,18.229214,11.633678,1.35352,20.022823,12.165909,1.07079,21.337873,12.495402,0.84734,22.431416,12.594701,0.67072,23.180511,12.323965,0.53067,23.776999,11.832991,0.41976,24.332048,11.323822,0.33183,24.67198,10.880025,0.26261,24.853685,10.546142,0.20791,24.987936,10.333688,0.16452,25.024244,10.230465,0.13007,25.131767,10.208142,0.10309,25.466043,10.329723,0.08153,25.511005,10.286404,0.06443,25.601854,10.464753,0.05102,25.666235,10.517356,0.04042,25.81308,10.552385,0.03192,25.942698,10.676654,0.02528,26.179958,10.804146,0.01999,26.710482,11.262309,27,59
1,15829.126,0.32530937,0.09558195,12516.703,0.38461325,0.08175636,9909.4424,0.2375538,0.03500836,7835.48,0.28034398,0.00066878187,6217.2461,0.37174287,-0.033317517,4905.291,0.3547633,-0.052301597,3881.2737,0.5078947,0.044090424,3070.9827,0.4322603,0.12951817,2430.7778,0.39977708,0.036233146,1923.1537,0.35053012,0.044113096,1522.4358,0.40570548,0.04826426,1203.8446,0.32832703,0.00021444545,952.86591,0.46660542,0.018154886,754.27557,0.35962245,-0.001740274,596.71857,0.3449495,-0.06313926,471.96338,0.44218412,-0.016237583,373.20856,0.52831864,0.106258824,295.47278,0.38494197,0.12448672,233.87738,0.32776967,0.07611741,185.05922,0.332265,0.12435183,146.35823,0.36710694,0.049539957,115.77804,0.32374015,0.032432135,91.6721,0.32220784,0.06518368,72.51701,0.37431434,0.048713926,57.36816,0.2855173,0.10092336,45.3629,0.38521865,0.059279073,35.93134,0.2921649,0.08835589,28.40909,0.24315438,-0.03461739,22.48202,0.5015609,-0.0016319724,17.79613,0.4725481,-0.022420492,14.06813,0.576208,-0.016979989,11.1448,0.60048574,-0.0011641951,8.81772,0.6199644,0.057507377,6.97545,0.55132043,0.10179867,5.5173,0.6048069,0.10830272,4.36941,0.5450324,0.08853536,3.45686,0.5561924,0.071388274,2.73547,0.38291356,-0.017185804,2.16054,0.38932118,-0.124745145,1.70952,0.4786393,-0.094450936,1.35352,0.45794812,-0.06398149,1.07079,0.5393812,-0.122805074,0.84734,0.54439074,-0.04737031,0.67072,0.561345,-0.07386054,0.53067,0.7303597,-0.053901028,0.41976,0.7602865,0.05506679,0.33183,0.5905543,0.0878002,0.26261,0.5307672,0.08071881,0.20791,0.6661789,0.060336616,0.16452,0.66703147,0.06884706,0.13007,0.8077006,-0.033869695,0.10309,0.7969995,0.14189412,0.08153,0.8229096,0.19544089,0.06443,0.7058223,0.27643147,0.05102,0.47317532,0.27367413,0.04042,0.48618937,0.08830448,0.03192,0.5238998,0.039150607,0.02528,0.5798682,-0.17014126,0.01999,0.82767147,-0.3183469,28,69
1,15829.126,0.45342058,-0.0590077,12516.703,0.45158678,0.036470313,9909.4424,0.37849316,0.052842733,7835.48,0.3625339,0.050277162,6217.2461,0.374316,0.1028973,4905.291,0.30129662,0.08697228,3881.2737,0.37533912,0.015960637,3070.9827,0.42849645,0.0801409,2430.7778,0.48341864,0.06814546,1923.1537,0.50386363,0.0935895,1522.4358,0.5606825,0.09857331,1203.8446,0.6183856,0.029782329,952.86591,0.572436,0.046892744,754.27557,0.41949043,0.062745616,596.71857,0.30642238,0.077122174,471.96338,0.46126235,0.012168619,373.20856,0.46627632,0.035184067,295.47278,0.53413707,0.010699454,233.87738,0.6997002,0.0047051487,185.05922,0.7159353,0.019377347,146.35823,0.66137433,0.13327569,115.77804,0.66404545,0.21331897,91.6721,0.47960567,0.21670806,72.51701,0.42680725,0.27370998,57.36816,0.33115378,0.14438447,45.3629,0.4216,0.07295507,35.93134,0.4911574,-0.028225284,28.40909,0.7269043,-0.107374385,22.48202,0.8825871,-0.045775842,17.79613,0.9089186,-0.019543912,14.06813,1.0002395,0.08900508,11.1448,0.95946634,0.2543797,8.81772,0.7545609,0.35309476,6.97545,0.5639964,0.31603026,5.5173,0.29490957,0.23763032,4.36941,0.42051187,-0.1123424,3.45686,0.51662,-0.28661257,2.73547,0.6917558,-0.4411213,2.16054,1.0244697,-0.5312776,1.70952,1.6145202,-0.39467624,1.35352,1.8399099,0.11269595,1.07079,1.8414078,0.7590789,0.84734,1.3258396,1.3429149,0.67072,0.5968994,1.358969,0.53067,-0.015069452,0.7765443,0.41976,-0.066188365,-0.19498654,0.33183,0.6284284,-1.0748698,0.26261,1.9296982,-1.5337182,0.20791,3.381641,-0.9632782,0.16452,4.331327,0.18096712,0.13007,4.524983,1.7718327,0.10309,3.7159932,3.089703,0.08153,2.2518194,3.4087346,0.06443,1.0409405,2.382442,0.05102,1.128298,-0.5807831,0.04042,4.1185284,-3.9373834,0.03192,11.487861,-6.380936,0.02528,17.717756,-3.295661,0.01999,22.560848,5.067106,25,72
1,15829.126,0.43491682,-0.09990065,12516.703,0.38105366,-0.14300697,9909.4424,0.42342928,-0.01045422,7835.48,0.2594044,0.029230837,6217.2461,0.1690521,0.06498061,4905.291,0.16630474,0.008709687,3881.2737,0.4228169,0.054470163,3070.9827,0.46398708,0.04149807,2430.7778,0.42987862,0.039215285,1923.1537,0.38669518,0.053313863,1522.4358,0.28885564,0.018836904,1203.8446,0.48208606,-0.010888231,952.86591,0.39810285,0.13730913,754.27557,0.26263794,0.12535645,596.71857,0.33750358,0.11491307,471.96338,0.3733739,0.062275115,373.20856,0.19998482,-0.01421189,295.47278,0.24758556,0.01213682,233.87738,0.27265432,-0.049218353,185.05922,0.38010207,-0.06504132,146.35823,0.4310082,-0.017869081,115.77804,0.3527703,0.048788425,91.6721,0.3423467,0.008229601,72.51701,0.48313507,0.036268417,57.36816,0.37651983,0.13043192,45.3629,0.37662873,0.11336791,35.93134,0.4770534,0.026660446,28.40909,0.5016146,0.04940817,22.48202,0.48190194,0.101722,17.79613,0.5033881,0.104556955,14.06813,0.5399881,0.043261055,11.1448,0.4228001,0.028247159,8.81772,0.47675613,-0.0047726305,6.97545,0.30045316,0.068185195,5.5173,0.5378768,0.07063471,4.36941,0.5191371,0.14296846,3.45686,0.52645725,0.042263996,2.73547,0.42857698,0.077368,2.16054,0.38144842,-0.0037300857,1.70952,0.30140647,0.08311581,1.35352,0.41562334,0.019281011,1.07079,0.4497498,0.034528587,0.84734,0.5843477,0.001446995,0.67072,0.55864817,0.06468353,0.53067,0.47999665,0.06979597,0.41976,0.3982263,0.041469153,0.33183,0.45135835,-0.010013399,0.26261,0.5369979,-0.009008703,0.20791,0.58788437,-0.016459,0.16452,0.62058586,0.0018802611,0.13007,0.64448243,0.046479065,0.10309,0.77064955,0.09671109,0.08153,0.61982435,0.17884117,0.06443,0.48929477,0.16219907,0.05102,0.53609115,0.17479096,0.04042,0.4138991,0.15857306,0.03192,0.4247928,0.057741728,0.02528,0.48148423,-0.03669318,0.01999,0.59194756,-0.010472921,37,85
1,15829.126,0.3914381,-0.059240248,12516.703,0.37655672,0.013600665,9909.4424,0.28766778,0.07660306,7835.48,0.29313156,0.023380425,6217.2461,0.3265907,-0.046138417,4905.291,0.42825368,0.023360688,3881.2737,0.568283,0.055683713,3070.9827,0.42081854,0.061701115,2430.7778,0.34128043,0.036899243,1923.1537,0.40337542,0.062438916,1522.4358,0.5047151,0.08177432,1203.8446,0.40554383,0.004788759,952.86591,0.43626162,-0.0017822059,754.27557,0.4950292,0.032396752,596.71857,0.4270142,0.047754686,471.96338,0.54381454,0.08329143,373.20856,0.5277491,0.080943435,295.47278,0.4994252,-0.012594444,233.87738,0.52252007,-0.04999892,185.05922,0.46744847,-0.059256446,146.35823,0.61667866,0.023751032,115.77804,0.4817249,0.10622466,91.6721,0.45771646,0.10397694,72.51701,0.41659388,0.10851702,57.36816,0.26439026,0.16132243,45.3629,0.30699125,0.10924989,35.93134,0.37570336,0.03613114,28.40909,0.5589697,0.0331599,22.48202,0.6500067,0.14649722,17.79613,0.62068987,0.2151554,14.06813,0.6617993,0.18048874,11.1448,0.5318905,0.17623149,8.81772,0.6164805,0.14924115,6.97545,0.69947565,0.079617836,5.5173,0.7865345,0.07521624,4.36941,0.7759961,0.020152908,3.45686,0.7397642,0.01757386,2.73547,0.8339514,0.056330223,2.16054,0.81582063,0.051247414,1.70952,0.8313146,0.0057410626,1.35352,0.7603037,0.020813089,1.07079,0.7029965,-0.046303865,0.84734,0.7651481,-0.050468173,0.67072,0.8684561,-0.051662695,0.53067,0.7890923,-0.001582575,0.41976,0.83014274,0.10334245,0.33183,0.69970715,0.13099596,0.26261,0.8089713,0.057710234,0.20791,0.7810019,0.09197941,0.16452,0.8460156,0.13914645,0.13007,0.8497588,0.13264604,0.10309,0.8693091,0.15490913,0.08153,0.965036,0.1503645,0.06443,1.0098834,0.1535696,0.05102,1.0609045,0.28208086,0.04042,1.1856736,0.549337,0.03192,0.97038484,0.83254236,0.02528,0.63799167,0.84738445,0.01999,0.34541795,0.61980534,36,85
1,15829.126,0.32109204,0.012705225,12516.703,0.263864,0.032896955,9909.4424,0.16916385,-0.017930578,7835.48,0.32545254,-0.032526862,6217.2461,0.35823587,0.07870239,4905.291,0.39322475,0.13574389,3881.2737,0.3185294,0.12395424,3070.9827,0.26902553,0.06390071,2430.7778,0.30921528,-0.013166067,1923.1537,0.1856812,0.0077990172,1522.4358,0.24043599,0.0061821816,1203.8446,0.28887215,-0.049821835,952.86591,0.24235895,-0.0472718,754.27557,0.2576364,-0.09214102,596.71857,0.2213026,-0.012668979,471.96338,0.15612742,0.062657654,373.20856,0.42229196,0.06843832,295.47278,0.27012464,0.19174692,233.87738,0.35186276,0.12920415,185.05922,0.4550198,0.13555269,146.35823,0.34486893,0.08334928,115.77804,0.43986908,0.07405867,91.6721,0.6267018,0.087507315,72.51701,0.4883908,0.14254224,57.36816,0.4558554,0.09887059,45.3629,0.48268363,0.10513007,35.93134,0.4793708,0.100976035,28.40909,0.39815715,0.07772929,22.48202,0.4909346,0.054471057,17.79613,0.5718275,0.030478027,14.06813,0.47153595,0.12860475,11.1448,0.49032447,0.09991667,8.81772,0.4572524,0.07707026,6.97545,0.61043584,0.12155325,5.5173,0.5876535,0.12108345,4.36941,0.5671662,0.14401597,3.45686,0.5759601,0.07225189,2.73547,0.6718218,0.050041858,2.16054,0.68394375,-0.0144939395,1.70952,0.79231787,0.04166298,1.35352,0.77216256,0.090820365,1.07079,0.7646915,0.15244912,0.84734,0.57462376,0.16447523,0.67072,0.47698113,0.08208675,0.53067,0.5923142,0.039238896,0.41976,0.6133118,-0.17962463,0.33183,0.8506813,-0.11513887,0.26261,1.0471252,-0.062331256,0.20791,1.2777183,0.041774664,0.16452,1.254794,0.44755945,0.13007,0.98352695,0.8039779,0.10309,0.52841115,0.93438554,0.08153,0.050464366,0.5932862,0.06443,-0.1126751,-0.043614056,0.05102,0.3765224,-0.64539707,0.04042,1.1421064,-1.0739281,0.03192,2.0754845,-0.84730834,0.02528,2.9919531,-0.04745997,0.01999,3.4975715,1.200568,36,98
1,15829.126,0.41056028,-0.12611817,12516.703,0.5046062,-0.014497918,9909.4424,0.5067509,0.06611475,7835.48,0.42486903,0.019960422,6217.2461,0.5124361,0.0071683405,4905.291,0.53355503,0.066789396,3881.2737,0.5425297,0.093845084,3070.9827,0.5895195,0.15729827,2430.7778,0.5241665,0.12715742,1923.1537,0.6882313,0.16748953,1522.4358,0.5937097,0.21227716,1203.8446,0.7364637,0.23030633,952.86591,0.7984819,0.27088997,754.27557,0.7857946,0.24832803,596.71857,0.8428791,0.26056105,471.96338,0.92196125,0.18083559,373.20856,1.0108045,0.11586691,295.47278,1.1828268,0.32069907,233.87738,0.99039483,0.35776788,185.05922,0.9189569,0.3286369,146.35823,0.9716705,0.18000494,115.77804,1.1363211,0.022612955,91.6721,1.3050647,-0.053358342,72.51701,1.3954827,0.08022717,57.36816,1.3071632,0.21251537,45.3629,1.2854418,0.3015378,35.93134,1.2309862,0.38856596,28.40909,1.3119675,0.39978653,22.48202,1.3937106,0.4258525,17.79613,1.554107,0.4057202,14.06813,1.6796176,0.5029525,11.1448,1.7552683,0.58066756,8.81772,1.7883946,0.6599219,6.97545,1.9484266,0.768948,5.5173,2.0743635,0.86390364,4.36941,2.0093071,0.9502243,3.45686,2.2343094,0.9575311,2.73547,2.362225,1.0280812,2.16054,2.6857595,1.0214092,1.70952,3.1830888,1.1259272,1.35352,3.7045348,1.3988518,1.07079,4.1974335,1.891185,0.84734,4.543031,2.754039,0.67072,4.5661,3.5289586,0.53067,4.3305497,3.9836516,0.41976,4.263996,3.6777484,0.33183,4.7063894,2.720055,0.26261,6.8628798,0.99688345,0.20791,12.009425,0.080550015,0.16452,19.288126,2.3100927,0.13007,21.683409,9.297133,0.10309,20.436987,14.521761,0.08153,17.9018,16.481722,0.06443,16.242498,17.07383,0.05102,15.643195,17.308289,0.04042,15.617994,17.596771,0.03192,16.350164,18.006908,0.02528,17.42959,18.419176,0.01999,18.921719,18.633408,23,76
1,15829.126,0.3966584,-0.06262809,12516.703,0.41344723,-0.020677473,9909.4424,0.4882514,0.0051362393,7835.48,0.46352887,0.009791392,6217.2461,0.482405,0.0018869815,4905.291,0.67842424,-0.012151864,3881.2737,0.6466075,0.055545676,3070.9827,0.5761767,0.06582779,2430.7778,0.55786294,0.105617814,1923.1537,0.5541689,0.085304976,1522.4358,0.6005427,0.058172148,1203.8446,0.50776905,0.017527182,952.86591,0.4757662,0.06664976,754.27557,0.5747486,0.11887717,596.71857,0.5557149,0.07126379,471.96338,0.6480656,0.08110896,373.20856,0.6217212,0.12157604,295.47278,0.5951138,0.06705197,233.87738,0.6847123,-0.0118363025,185.05922,0.6926018,-0.04306289,146.35823,0.6562034,0.0018683998,115.77804,0.71809554,0.09150817,91.6721,0.7001845,0.1331402,72.51701,0.6342307,0.15254363,57.36816,0.54181236,0.19331148,45.3629,0.586118,0.22277656,35.93134,0.6252006,0.1055071,28.40909,0.8339024,-0.003505108,22.48202,0.9480289,0.06220494,17.79613,0.97820115,0.06266036,14.06813,0.9787474,0.2316199,11.1448,0.87748927,0.2314913,8.81772,0.76260245,0.22220808,6.97545,0.7426696,0.18670863,5.5173,0.8327427,0.06212904,4.36941,1.0303423,-0.03002986,3.45686,1.0759865,-0.027581628,2.73547,1.1801201,0.0020680754,2.16054,1.4358132,0.10664536,1.70952,1.3572677,0.47179627,1.35352,1.0256023,0.64528847,1.07079,0.63981706,0.6551888,0.84734,0.3467404,0.29059678,0.67072,0.37420174,-0.26887795,0.53067,0.77567977,-0.6777715,0.41976,1.5616758,-0.90369797,0.33183,2.4024563,-0.5243856,0.26261,2.939627,0.19836576,0.20791,2.8609142,1.1991866,0.16452,2.3482084,2.0132143,0.13007,1.4727758,2.2700958,0.10309,0.7454017,1.8606007,0.08153,0.43894932,0.7735492,0.06443,1.3017856,-0.6377977,0.05102,3.0407448,-1.4026495,0.04042,5.6829104,-0.8937278,0.03192,8.158105,2.2482054,0.02528,7.9786577,8.309575,0.01999,6.5281973,11.240057,36,78
