Cell,r_1,i_2,f_3,r_4,i_5,f_6,r_7,i_8,f_9,r_10,i_11,f_12,r_13,i_14,f_15,SOH
3,20004.453,0.2926,0.02272,0.01999,1.88063,-0.43411,15829.126,0.32102,0.00045,4.36941,1.21222,-0.35308,0.26261,1.63125,-0.14657,100
4,20004.453,0.27346,0.0198,0.01999,1.71939,-0.39159,15829.126,0.27938,-3e-05,11.1448,1.0851,-0.27554,0.41976,1.46508,-0.10541,100
6,20004.453,0.32195,0.02155,0.01999,1.7709,-0.43757,15829.126,0.33078,-0.0002,5.5173,1.09221,-0.32226,0.26261,1.51947,-0.13206,100
8,20004.453,0.29397,0.01514,0.01999,1.92954,-0.42692,15829.126,0.35484,-0.00189,4.36941,1.30794,-0.33007,0.26261,1.68835,-0.13579,100
7,20004.453,0.30528,0.01472,0.01999,1.75289,-0.41537,15829.126,0.35849,0.00166,8.81772,1.1194,-0.28388,0.33183,1.51085,-0.11232,100
2,20004.453,0.28533,0.02969,0.01999,1.64008,-0.39374,15829.126,0.30649,0.00689,8.81772,1.04978,-0.26747,0.41976,1.38913,-0.10249,100
6,20004.453,0.32132,0.0203,0.01999,1.76328,-0.44239,15829.126,0.34037,-2e-05,5.5173,1.10205,-0.32438,0.26261,1.51531,-0.13197,99
8,20004.453,0.29174,0.01561,0.01999,1.92911,-0.43034,1.07079,1.47659,0.00118,5.5173,1.22869,-0.32807,0.26261,1.66887,-0.13308,99
7,20004.453,0.31006,0.01425,0.01999,2.30937,-0.5436,15829.126,0.366,0.00012,2.73547,1.45598,-0.47412,0.16452,2.0324,-0.21338,99
2,20004.453,0.28474,0.02953,0.01999,1.64335,-0.37268,0.41976,1.80569,-0.00118,11.1448,1.00341,-0.2646,0.41976,1.39212,-0.10265,99
3,20004.453,0.29484,0.02313,0.01999,1.88546,-0.42533,15829.126,0.30339,-7e-05,5.5173,1.14165,-0.34777,0.26261,1.62514,-0.14371,99
1,20004.453,0.275,0.03318,0.01999,0.90402,-0.27584,12516.703,0.31193,-0.00057,45.3629,0.56538,-0.11389,1.35352,0.71009,-0.03347,99
1,20004.453,1.56984,0.03628,0.01999,2.04766,-0.24432,12516.703,1.46012,-8e-05,57.36816,1.77751,-0.08262,2.73547,1.87064,-0.02329,99
2,20004.453,0.54671,0.03806,0.01999,1.02889,-0.25181,12516.703,0.58266,0.00021,72.51701,0.73787,-0.08131,2.16054,0.84763,-0.02324,99
2,20004.453,0.47084,0.02958,0.01999,1.09505,-0.27295,0.26261,1.18725,-0.00119,57.36816,0.74384,-0.11167,1.35352,0.90469,-0.03382,99
5,20004.453,0.3463,0.02711,0.01999,1.19608,-0.31109,12516.703,0.35997,-0.0028,35.93134,0.73808,-0.16094,0.84734,0.98267,-0.05284,98
1,20004.453,0.3847,0.03513,0.01999,1.25668,-0.32795,12516.703,0.39684,-9e-05,35.93134,0.81236,-0.17167,0.84734,1.05071,-0.05344,98
