Battery,Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
5,1,15829.126,0.41364,-0.01023,12516.703,0.42088,0.00465,9909.4424,0.42819,0.0192,7835.48,0.43531,0.02838,6217.2461,0.44372,0.03858,4905.291,0.45257,0.04752,3881.2737,0.46261,0.05475,3070.9827,0.47118,0.06421,2430.7778,0.48212,0.07056,1923.1537,0.49406,0.07672,1522.4358,0.507,0.0829,1203.8446,0.51967,0.09107,952.86591,0.53393,0.09762,754.27557,0.54813,0.10393,596.71857,0.56524,0.1104,471.96338,0.58107,0.11946,373.20856,0.59975,0.12603,295.47278,0.61886,0.13122,233.87738,0.64032,0.14017,185.05922,0.66062,0.14721,146.35823,0.68317,0.15494,115.77804,0.70651,0.16068,91.6721,0.73117,0.16869,72.51701,0.75739,0.17541,57.36816,0.78177,0.18214,45.3629,0.80939,0.18975,35.93134,0.83514,0.19886,28.40909,0.86466,0.21044,22.48202,0.89843,0.22133,17.79613,0.93431,0.2338,14.06813,0.97873,0.2434,11.1448,1.02448,0.24725,8.81772,1.07208,0.24885,6.97545,1.11769,0.24302,5.5173,1.1661,0.22624,4.36941,1.20262,0.21109,3.45686,1.23729,0.18846,2.73547,1.26621,0.1672,2.16054,1.28781,0.14684,1.70952,1.30346,0.12802,1.35352,1.31591,0.11122,1.07079,1.32661,0.09821,0.84734,1.33474,0.08894,0.67072,1.34108,0.08163,0.53067,1.34704,0.07562,0.41976,1.35351,0.07354,0.33183,1.35923,0.07519,0.26261,1.36437,0.07886,0.20791,1.36984,0.08336,0.16452,1.37727,0.09002,0.13007,1.38697,0.10086,0.10309,1.39664,0.11765,0.08153,1.40555,0.13674,0.06443,1.41797,0.15867,0.05102,1.43655,0.18062,0.04042,1.46317,0.21299,0.03192,1.49097,0.25426,0.02528,1.51892,0.2943,0.01999,1.55862,0.32909,25,96
5,1,15829.126,0.67294,-0.01165,12516.703,0.6773,-0.00057,9909.4424,0.6842,0.00908,7835.48,0.69121,0.01691,6217.2461,0.69637,0.0227,4905.291,0.70339,0.02836,3881.2737,0.70945,0.03258,3070.9827,0.71511,0.03704,2430.7778,0.72234,0.03768,1923.1537,0.72979,0.04093,1522.4358,0.73578,0.04373,1203.8446,0.74237,0.04731,952.86591,0.74977,0.0498,754.27557,0.75874,0.05267,596.71857,0.76462,0.05504,471.96338,0.77339,0.05742,373.20856,0.78063,0.06191,295.47278,0.78915,0.06582,233.87738,0.79825,0.06984,185.05922,0.80864,0.07439,146.35823,0.81953,0.07975,115.77804,0.83079,0.08598,91.6721,0.84439,0.09183,72.51701,0.85939,0.09911,57.36816,0.87503,0.10587,45.3629,0.89491,0.11057,35.93134,0.91714,0.11493,28.40909,0.94052,0.11571,22.48202,0.96323,0.1119,17.79613,0.98489,0.10602,14.06813,1.00434,0.09669,11.1448,1.01814,0.08354,8.81772,1.03121,0.0752,6.97545,1.04008,0.06493,5.5173,1.04593,0.05642,4.36941,1.05294,0.05053,3.45686,1.0576,0.04372,2.73547,1.06196,0.04024,2.16054,1.06452,0.03694,1.70952,1.06681,0.03543,1.35352,1.06938,0.03396,1.07079,1.07317,0.03473,0.84734,1.07566,0.03611,0.67072,1.07802,0.03896,0.53067,1.08099,0.04142,0.41976,1.08556,0.04587,0.33183,1.09,0.05242,0.26261,1.09431,0.06003,0.20791,1.09979,0.06818,0.16452,1.10828,0.07786,0.13007,1.1184,0.09133,0.10309,1.12762,0.10839,0.08153,1.13708,0.12739,0.06443,1.14866,0.14642,0.05102,1.16556,0.16447,0.04042,1.18778,0.18863,0.03192,1.21111,0.21754,0.02528,1.23679,0.24533,0.01999,1.27363,0.27383,45,85
5,2,15829.126,0.50373,-0.00209,12516.703,0.51001,0.00922,9909.4424,0.51726,0.02033,7835.48,0.52553,0.02806,6217.2461,0.53244,0.03604,4905.291,0.5422,0.04239,3881.2737,0.55041,0.04823,3070.9827,0.55889,0.0547,2430.7778,0.56771,0.05907,1923.1537,0.57734,0.06424,1522.4358,0.5868,0.06897,1203.8446,0.60028,0.07409,952.86591,0.60937,0.07657,754.27557,0.623,0.0826,596.71857,0.63574,0.08592,471.96338,0.64842,0.0915,373.20856,0.66261,0.09443,295.47278,0.67855,0.09827,233.87738,0.69085,0.10372,185.05922,0.70614,0.10742,146.35823,0.72176,0.11202,115.77804,0.73877,0.11713,91.6721,0.75431,0.12385,72.51701,0.7718,0.12929,57.36816,0.7901,0.13664,45.3629,0.8109,0.14487,35.93134,0.8333,0.15437,28.40909,0.86028,0.16404,22.48202,0.88912,0.17167,17.79613,0.92105,0.17528,14.06813,0.95507,0.17709,11.1448,0.98789,0.17232,8.81772,1.02101,0.16614,6.97545,1.04888,0.15205,5.5173,1.07319,0.14111,4.36941,1.09516,0.12301,3.45686,1.11236,0.10952,2.73547,1.12537,0.09765,2.16054,1.13545,0.0851,1.70952,1.14387,0.07511,1.35352,1.15116,0.06826,1.07079,1.15575,0.0621,0.84734,1.16087,0.05737,0.67072,1.16588,0.05595,0.53067,1.17066,0.05667,0.41976,1.17489,0.05928,0.33183,1.17821,0.06315,0.26261,1.18379,0.06779,0.20791,1.19056,0.07509,0.16452,1.19825,0.0865,0.13007,1.20546,0.09987,0.10309,1.21477,0.11365,0.08153,1.22864,0.13009,0.06443,1.24679,0.15289,0.05102,1.26685,0.18222,0.04042,1.28535,0.21257,0.03192,1.30996,0.2393,0.02528,1.34607,0.26789,0.01999,1.39074,0.30704,35,91
5,5,15829.126,0.42769,0.00216,12516.703,0.4339,0.0137,9909.4424,0.44133,0.02494,7835.48,0.44742,0.03431,6217.2461,0.45537,0.04121,4905.291,0.46345,0.05016,3881.2737,0.47329,0.05555,3070.9827,0.48641,0.06157,2430.7778,0.49591,0.06901,1923.1537,0.50619,0.07336,1522.4358,0.51784,0.08125,1203.8446,0.53001,0.08705,952.86591,0.54467,0.0939,754.27557,0.55821,0.09888,596.71857,0.57438,0.10542,471.96338,0.5897,0.11189,373.20856,0.60834,0.11713,295.47278,0.62468,0.12375,233.87738,0.64542,0.12969,185.05922,0.66465,0.13489,146.35823,0.68714,0.14158,115.77804,0.70677,0.14879,91.6721,0.72964,0.15223,72.51701,0.75371,0.16052,57.36816,0.77417,0.16921,45.3629,0.79944,0.17701,35.93134,0.82522,0.18323,28.40909,0.85487,0.19921,22.48202,0.88581,0.2088,17.79613,0.9205,0.21561,14.06813,0.95228,0.22934,11.1448,1.00737,0.22751,8.81772,1.04017,0.24103,6.97545,1.08281,0.21868,5.5173,1.13515,0.195,4.36941,1.18647,0.197,3.45686,1.20132,0.19609,2.73547,1.20133,0.17238,2.16054,1.20537,0.12926,1.70952,1.22988,0.07998,1.35352,1.27601,0.04979,1.07079,1.32503,0.05394,0.84734,1.35266,0.09104,0.67072,1.34691,0.13548,0.53067,1.2936,0.1737,0.41976,1.21421,0.16496,0.33183,1.15236,0.1013,0.26261,1.14426,0.00315,0.20791,1.20963,-0.08496,0.16452,1.33122,-0.11515,0.13007,1.46324,-0.05856,0.10309,1.5533,0.08456,0.08153,1.54903,0.27904,0.06443,1.45433,0.43968,0.05102,1.24856,0.51227,0.04042,1.0608,0.42225,0.03192,1.01119,0.2274,0.02528,1.12067,0.05183,0.01999,1.31593,-0.0577,25,85
5,2,15829.126,0.49211,0.00149,12516.703,0.50041,0.01416,9909.4424,0.50592,0.02257,7835.48,0.51311,0.03229,6217.2461,0.52462,0.0377,4905.291,0.53069,0.04362,3881.2737,0.53912,0.04858,3070.9827,0.54748,0.05382,2430.7778,0.55732,0.05872,1923.1537,0.56767,0.06224,1522.4358,0.57776,0.06701,1203.8446,0.58943,0.0704,952.86591,0.59836,0.07499,754.27557,0.61165,0.07922,596.71857,0.62368,0.0831,471.96338,0.63553,0.08734,373.20856,0.64828,0.09133,295.47278,0.66326,0.095,233.87738,0.67649,0.10021,185.05922,0.69229,0.10338,146.35823,0.70664,0.10847,115.77804,0.72255,0.11345,91.6721,0.7387,0.11924,72.51701,0.75546,0.12666,57.36816,0.77469,0.13564,45.3629,0.79625,0.14362,35.93134,0.81213,0.15606,28.40909,0.83851,0.16551,22.48202,0.86651,0.17604,17.79613,0.89571,0.18921,14.06813,0.94418,0.19421,11.1448,0.96846,0.19064,8.81772,1.02108,0.18202,6.97545,1.05318,0.18582,5.5173,1.06494,0.16566,4.36941,1.08888,0.13104,3.45686,1.13128,0.1049,2.73547,1.16461,0.10435,2.16054,1.17473,0.11822,1.70952,1.15662,0.12398,1.35352,1.12682,0.10701,1.07079,1.10885,0.06391,0.84734,1.11974,0.01092,0.67072,1.15882,-0.025,0.53067,1.226,-0.0289,0.41976,1.28627,0.01934,0.33183,1.30304,0.10678,0.26261,1.25774,0.19647,0.20791,1.15732,0.2437,0.16452,1.04209,0.21642,0.13007,0.96848,0.11512,0.10309,0.98012,-0.01949,0.08153,1.08907,-0.13142,0.06443,1.25541,-0.16873,0.05102,1.48168,-0.08237,0.04042,1.63008,0.15276,0.03192,1.60332,0.43412,0.02528,1.42336,0.61423,0.01999,1.19824,0.59645,35,83
5,5,15829.126,0.4645,-0.00099,12516.703,0.47305,0.0103,9909.4424,0.48072,0.0215,7835.48,0.48833,0.03057,6217.2461,0.49744,0.03627,4905.291,0.50591,0.04268,3881.2737,0.51173,0.04895,3070.9827,0.52399,0.05551,2430.7778,0.53019,0.0595,1923.1537,0.54003,0.06261,1522.4358,0.55069,0.0671,1203.8446,0.5609,0.0728,952.86591,0.57346,0.07652,754.27557,0.5837,0.08028,596.71857,0.59561,0.08688,471.96338,0.60911,0.08942,373.20856,0.62309,0.09442,295.47278,0.63706,0.09916,233.87738,0.6525,0.10587,185.05922,0.66713,0.10947,146.35823,0.68295,0.11607,115.77804,0.69952,0.12219,91.6721,0.71532,0.12757,72.51701,0.73377,0.13571,57.36816,0.74909,0.14685,45.3629,0.76593,0.1567,35.93134,0.7912,0.16493,28.40909,0.80984,0.18524,22.48202,0.83642,0.20106,17.79613,0.8625,0.21801,14.06813,0.88173,0.24385,11.1448,0.94079,0.27085,8.81772,0.96368,0.30651,6.97545,1.02122,0.31415,5.5173,1.10512,0.31786,4.36941,1.18515,0.36787,3.45686,1.22327,0.38164,2.73547,1.26682,0.3562,2.16054,1.32192,0.30353,1.70952,1.40239,0.23905,1.35352,1.50141,0.2042,1.07079,1.58528,0.21532,0.84734,1.62267,0.25989,0.67072,1.61055,0.29902,0.53067,1.5422,0.31007,0.41976,1.4684,0.25652,0.33183,1.44095,0.15007,0.26261,1.49263,0.03542,0.20791,1.61789,-0.02937,0.16452,1.77051,-0.00572,0.13007,1.89229,0.10797,0.10309,1.93414,0.27211,0.08153,1.88723,0.42355,0.06443,1.80992,0.50966,0.05102,1.71202,0.51755,0.04042,1.67859,0.46274,0.03192,1.73582,0.39542,0.02528,1.87712,0.36133,0.01999,2.08095,0.39547,25,46
5,5,15829.126,0.46393,-0.00412,12516.703,0.47125,0.00957,9909.4424,0.47836,0.01774,7835.48,0.48445,0.02742,6217.2461,0.49284,0.03483,4905.291,0.50072,0.04201,3881.2737,0.50942,0.04834,3070.9827,0.51655,0.05356,2430.7778,0.52683,0.05882,1923.1537,0.5381,0.06312,1522.4358,0.54733,0.0682,1203.8446,0.55898,0.07315,952.86591,0.56901,0.07969,754.27557,0.58093,0.08416,596.71857,0.59415,0.08912,471.96338,0.60801,0.09341,373.20856,0.62159,0.09972,295.47278,0.63681,0.10431,233.87738,0.65137,0.10988,185.05922,0.66902,0.11609,146.35823,0.68578,0.12163,115.77804,0.70238,0.12988,91.6721,0.72073,0.13486,72.51701,0.7392,0.14279,57.36816,0.75734,0.15326,45.3629,0.77646,0.16345,35.93134,0.79982,0.17613,28.40909,0.82326,0.18992,22.48202,0.85149,0.21074,17.79613,0.8846,0.22859,14.06813,0.925,0.24865,11.1448,0.97093,0.26638,8.81772,1.02362,0.27456,6.97545,1.0759,0.27508,5.5173,1.1355,0.27455,4.36941,1.18331,0.25725,3.45686,1.23276,0.23803,2.73547,1.27008,0.21742,2.16054,1.30109,0.19164,1.70952,1.32652,0.16838,1.35352,1.34601,0.14912,1.07079,1.35962,0.13263,0.84734,1.37157,0.11977,0.67072,1.38177,0.11007,0.53067,1.39172,0.1045,0.41976,1.39944,0.10408,0.33183,1.40593,0.10554,0.26261,1.41194,0.10974,0.20791,1.42004,0.11598,0.16452,1.42989,0.12687,0.13007,1.44073,0.14254,0.10309,1.45347,0.16122,0.08153,1.47158,0.18327,0.06443,1.49675,0.21476,0.05102,1.52781,0.25821,0.04042,1.55287,0.31185,0.03192,1.57741,0.36291,0.02528,1.61137,0.40701,0.01999,1.66154,0.45248,25,64
5,1,15829.126,0.30456,-0.00691,12516.703,0.31211,0.00568,9909.4424,0.3185,0.0156,7835.48,0.32553,0.0239,6217.2461,0.33342,0.03168,4905.291,0.34195,0.03872,3881.2737,0.35143,0.04435,3070.9827,0.35851,0.0504,2430.7778,0.36649,0.05427,1923.1537,0.37668,0.05945,1522.4358,0.3845,0.06391,1203.8446,0.39475,0.06855,952.86591,0.40551,0.07227,754.27557,0.41865,0.07612,596.71857,0.42949,0.08222,471.96338,0.44318,0.08501,373.20856,0.45677,0.08848,295.47278,0.46928,0.0914,233.87738,0.48041,0.09528,185.05922,0.49585,0.10101,146.35823,0.51124,0.105,115.77804,0.52639,0.11096,91.6721,0.53975,0.11457,72.51701,0.55674,0.12104,57.36816,0.5739,0.12774,45.3629,0.59171,0.13775,35.93134,0.61123,0.14618,28.40909,0.63493,0.1582,22.48202,0.66119,0.1673,17.79613,0.69333,0.17673,14.06813,0.72574,0.18148,11.1448,0.76311,0.18141,8.81772,0.79788,0.17625,6.97545,0.83165,0.163,5.5173,0.85771,0.15029,4.36941,0.88341,0.13508,3.45686,0.90293,0.12129,2.73547,0.91726,0.10521,2.16054,0.92896,0.09294,1.70952,0.93895,0.08307,1.35352,0.94543,0.07566,1.07079,0.95047,0.07077,0.84734,0.95528,0.0669,0.67072,0.9604,0.06546,0.53067,0.96484,0.06619,0.41976,0.96965,0.06814,0.33183,0.97644,0.07322,0.26261,0.98421,0.08204,0.20791,0.9927,0.09521,0.16452,0.99952,0.11286,0.13007,1.00384,0.13215,0.10309,1.01094,0.15088,0.08153,1.02375,0.17198,0.06443,1.0406,0.19875,0.05102,1.06095,0.22878,0.04042,1.08945,0.26049,0.03192,1.13045,0.30297,0.02528,1.18013,0.36258,0.01999,1.22502,0.4432,35,99
5,1,15829.126,0.52269,-0.01167,12516.703,0.53215,0.00523,9909.4424,0.54018,0.01697,7835.48,0.54866,0.028,6217.2461,0.55673,0.03531,4905.291,0.56619,0.04428,3881.2737,0.57601,0.04953,3070.9827,0.58563,0.05581,2430.7778,0.59378,0.06071,1923.1537,0.60502,0.06478,1522.4358,0.61438,0.07092,1203.8446,0.6264,0.07771,952.86591,0.63837,0.08225,754.27557,0.65078,0.08656,596.71857,0.66389,0.09321,471.96338,0.67905,0.09894,373.20856,0.69417,0.10595,295.47278,0.70855,0.11185,233.87738,0.72219,0.11987,185.05922,0.74252,0.12775,146.35823,0.76229,0.13576,115.77804,0.77941,0.14176,91.6721,0.80226,0.1504,72.51701,0.82302,0.15702,57.36816,0.84352,0.16679,45.3629,0.86394,0.17681,35.93134,0.88731,0.192,28.40909,0.90794,0.2046,22.48202,0.93099,0.22414,17.79613,0.95727,0.25001,14.06813,0.98443,0.2814,11.1448,1.01982,0.31924,8.81772,1.06609,0.36471,6.97545,1.12548,0.40195,5.5173,1.18872,0.46275,4.36941,1.27795,0.49114,3.45686,1.38568,0.54465,2.73547,1.48461,0.56309,2.16054,1.61283,0.55699,1.70952,1.73401,0.54678,1.35352,1.83123,0.5127,1.07079,1.9178,0.46093,0.84734,1.99104,0.40802,0.67072,2.04518,0.35849,0.53067,2.08444,0.31597,0.41976,2.11375,0.27915,0.33183,2.13568,0.2489,0.26261,2.15673,0.23037,0.20791,2.17421,0.2214,0.16452,2.18882,0.2215,0.13007,2.20203,0.22769,0.10309,2.21843,0.23877,0.08153,2.24149,0.25949,0.06443,2.26779,0.29364,0.05102,2.29494,0.33909,0.04042,2.32407,0.38604,0.03192,2.37071,0.43469,0.02528,2.43577,0.49822,0.01999,2.50649,0.579,25,49
5,1,15829.126,0.28228,-0.01059,12516.703,0.29009,0.00254,9909.4424,0.29557,0.01203,7835.48,0.30279,0.02257,6217.2461,0.31118,0.0289,4905.291,0.31924,0.03505,3881.2737,0.3252,0.04177,3070.9827,0.33232,0.0465,2430.7778,0.3416,0.05019,1923.1537,0.35098,0.05509,1522.4358,0.36008,0.05944,1203.8446,0.36925,0.06465,952.86591,0.37873,0.06788,754.27557,0.38856,0.07164,596.71857,0.40093,0.0758,471.96338,0.41166,0.07946,373.20856,0.42384,0.08289,295.47278,0.43649,0.08715,233.87738,0.44853,0.09158,185.05922,0.45951,0.09639,146.35823,0.47474,0.10154,115.77804,0.48935,0.10751,91.6721,0.5044,0.11401,72.51701,0.52195,0.1225,57.36816,0.54148,0.12956,45.3629,0.56509,0.13599,35.93134,0.59023,0.14206,28.40909,0.61762,0.14325,22.48202,0.64632,0.14256,17.79613,0.67482,0.13583,14.06813,0.69988,0.12518,11.1448,0.71898,0.11348,8.81772,0.73745,0.10128,6.97545,0.75071,0.0871,5.5173,0.75978,0.07738,4.36941,0.76811,0.06668,3.45686,0.77522,0.05996,2.73547,0.7792,0.05382,2.16054,0.78401,0.04842,1.70952,0.78831,0.04559,1.35352,0.79185,0.04435,1.07079,0.79493,0.04366,0.84734,0.79916,0.04336,0.67072,0.80331,0.04539,0.53067,0.80675,0.05052,0.41976,0.81114,0.05295,0.33183,0.81595,0.05844,0.26261,0.8228,0.06646,0.20791,0.82954,0.07732,0.16452,0.83535,0.08977,0.13007,0.84223,0.10272,0.10309,0.85222,0.11671,0.08153,0.86669,0.13496,0.06443,0.88266,0.15729,0.05102,0.89883,0.18129,0.04042,0.92228,0.2053,0.03192,0.95612,0.23652,0.02528,0.99365,0.27893,0.01999,1.02662,0.32953,35,83
