Battery_ID,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
9487033,1.0,45655.54,1239.7846717497057,3.859,3.62,17565.33573997761,27478.85,10066.5,577
9487033,1.0,28694.84,13778.777653638968,4.045,3.578,-113.58400001004338,5.98,10066.5,226
9487033,23.0,55182.1,-7619.993433499582,3.851,3.578,10635.805504466043,5.98,24784.44,554
9487033,23.0,44403.18,-19806.532841032633,3.895,3.639,626.6730531010485,26319.25,12528.06,276
9487033,22.0,8.69,12715.341133936183,3.907,3.715,1414.6313532071335,5461.27,8361.91,293
9487033,28.0,8.69,-8453.930136521862,3.88,3.636,-113.58400001004338,2492.59,14801.56,293
9487033,29.0,55211.01,-12760.551243403483,3.833,3.721,747.5609993671815,4571.48,11198.6,480
9487033,32.0,8.69,-11260.767108773567,3.908,3.641,7740.11337019784,13091.22,10066.5,233
9487033,33.0,8.69,-3257.514528807127,3.82,3.578,6010.000851020146,5.98,10066.5,329
9487033,34.0,31571.22,-7635.355033812263,3.835,3.669,-113.58400001004338,4486.21,5.98,314
9487033,38.0,49027.06,24165.183476581926,3.908,3.659,1129.037314353057,5.98,5.98,256
9487033,40.0,8.69,1239.7846717497057,3.89,3.662,6467.899704675487,40307.39,2414.67,204
9487033,41.0,32698.01,3167.5483067406713,3.831,3.647,-113.58400001004338,14066.55,10066.5,374
9487033,44.0,11167.04,-11409.680599486283,3.831,3.746,3835.170046686674,5.98,12919.83,309
9487033,46.0,8.69,-20800.270704569684,3.893,3.488,10824.736690224232,2305.79,2212.09,138
9487033,48.0,3955.13,-7020.959147676252,3.908,3.601,-113.58400001004338,5461.27,12644.23,518
9487033,48.0,8.69,3535.27921984515,3.961,3.539,10234.316872089614,11281.11,5.98,491
9487033,48.0,2005.56,-11684.697796144459,3.894,3.515,-113.58400001004338,5266.72,4583.91,568
9487033,48.0,11734.38,7190.4775337275005,3.921,3.665,3591.286677973221,2482.81,3372.86,579
9487033,50.0,10609.78,-12356.553794414634,3.933,3.576,9713.250596221207,10664.26,8782.15,659
9487033,49.0,9077.34,-44935.075743460584,3.865,3.592,3419.6311309839734,5461.27,15577.58,838
9487033,50.0,32691.7,-2575.715665935899,3.89,3.59,6799.895765566935,17658.95,5.98,843
9487033,49.0,4581.27,4140.67794298073,3.97,3.535,10923.960564917526,5.98,8823.99,504
9487033,49.0,8.69,10871.990330797047,3.919,3.581,7704.986318522537,7539.93,13264.88,681
9487033,50.0,21594.03,-11871.307580137749,3.829,3.578,4925.130282117125,5.98,3896.52,806
9487033,50.0,8.69,1239.7846717497057,3.908,3.529,793.0053250247729,5.98,26153.94,542
9487033,50.0,8.69,-10589.305526336826,3.945,3.542,-113.58400001004338,8646.92,5.98,665
9487033,51.0,8.69,2549.3774576988544,3.92,3.533,154.34699321541984,5.98,1543.6,554
9487033,52.0,8.69,21670.150148653207,3.866,3.499,4082.0726076519522,17531.49,2332.8,619
9487033,53.0,36962.01,3203.3475943223634,3.933,3.597,5582.775488801294,5.98,14404.09,494
9487033,54.0,21146.29,11470.985175037033,3.947,3.467,-113.58400001004338,16987.31,15839.19,557
9487033,54.0,8.69,-12020.001452943212,3.852,3.68,5546.462607673925,8692.2,5533.17,552
9487033,55.0,8.69,8110.940106609256,3.886,3.606,1122.77202110488,11686.58,11492.78,602
9487033,59.0,13898.4,-4811.6370638895305,3.926,3.587,2637.9661816371918,5.98,5.98,502
9487033,59.0,11369.67,14957.200731182069,3.87,3.578,-113.58400001004338,11909.63,7803.51,471
9487033,58.0,8.69,-12436.234756764767,3.943,3.439,7412.614673271667,5.98,26832.65,579
9487033,58.0,1619.45,1239.7846717497057,3.895,3.484,1849.7366249144477,5.98,8883.23,648
9487033,60.0,8.69,-2979.1264213725117,3.913,3.493,-113.58400001004338,5.98,6368.12,655
9487033,62.0,8.69,-8969.116098154967,3.973,3.474,1180.6149779337702,5.98,3881.35,646
9487033,64.0,1799.03,-224.10874253713132,3.912,3.56,9179.437163879653,5.98,5.98,658
9487033,65.0,9993.73,21668.319700626216,3.94,3.56,7193.366955636724,1217.96,18512.74,753
9487033,65.0,8.69,28297.399280316215,3.99,3.633,14709.598317771877,8408.36,742.44,767
9487033,70.0,12355.45,8939.905825530817,3.983,3.546,-113.58400001004338,5120.44,5.98,826
9487033,70.0,39825.02,-412.2817354202657,3.93,3.746,20831.242550438543,5317.22,8067.76,733
9487033,73.0,35937.1,-6483.278933942637,3.921,3.497,15319.29939358896,21421.51,5.98,763
9487033,75.0,8.69,5744.363085432473,3.918,3.571,3768.336170946925,11351.16,4113.82,726
9487033,79.0,10492.94,-14742.111629375677,3.847,3.475,4278.749366936243,5.98,23403.9,768
9487033,81.0,8.69,-28980.969623399204,3.849,3.573,3115.9732583574814,6553.2,5.98,620
9487033,81.0,8470.53,-3063.111894704817,3.91,3.531,4048.3227886682535,2035.97,5014.55,594
9487033,82.0,8.69,-3545.818160654342,3.916,3.536,-113.58400001004338,2666.76,25987.83,467
9487033,82.0,8.69,3911.784764744036,3.838,3.57,6001.502792050188,10295.64,19857.07,541
9487033,84.0,8.69,1013.0803053011591,3.9,3.553,-113.58400001004338,16621.54,34520.0,484
9487033,86.0,10896.8,-5986.1204650963855,3.885,3.66,-113.58400001004338,6227.02,27435.42,554
9487033,86.0,8.69,-7716.279302437338,3.908,3.68,11201.087969214106,5.98,19459.03,543
9487033,88.0,8.69,-9888.760258182345,3.923,3.592,4168.280415883644,5.98,25687.91,604
9487033,88.0,33341.25,2944.777425868484,3.972,3.478,-113.58400001004338,14044.04,13648.92,669
9487033,90.0,16252.81,-3444.3995074841996,3.847,3.771,17664.676061844355,5461.27,5.98,637
9487033,93.0,14670.07,14826.486841983524,3.846,3.493,9845.320191866946,12168.44,16027.17,584
9487033,95.0,9643.55,5759.968058242376,3.945,3.729,10770.488087620706,5.98,2787.61,363
9487033,95.0,38616.47,13642.863750236429,3.908,3.625,9042.65961989422,11587.35,30077.1,444
9487033,93.0,4581.27,19758.88093899652,3.818,3.555,1191.7841119629588,5.98,10066.5,349
9487033,95.0,9909.44,22549.55403327435,3.761,3.631,-113.58400001004338,5461.27,10343.84,425
9487033,95.0,8.69,22953.801577757586,3.908,3.741,6861.805939208704,6532.48,13657.62,293
