Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
7053270,15829.126,0.38022,0.01165,12516.703,0.55625,0.00945,9909.4424,0.44251,0.02288,7835.48,0.45455,0.02856,6217.2461,0.67324,0.03919,4905.291,0.34714,0.03606,3881.2737,0.64426,0.05072,3070.9827,0.46372,0.0419,2430.7778,0.40629,0.057,1923.1537,0.44803,0.06462,1522.4358,0.68607,0.06217,1203.8446,0.99759,0.07862,952.86591,0.37084,0.06762,754.27557,0.38109,0.08995,596.71857,0.70917,0.10218,471.96338,0.40409,0.08089,373.20856,0.46578,0.0874,295.47278,0.68107,0.11387,233.87738,0.95958,0.11419,185.05922,0.45478,0.11671,146.35823,0.46829,0.12316,115.77804,0.65438,0.10942,91.6721,0.58733,0.15376,72.51701,0.93644,0.12165,57.36816,0.87988,0.16346,45.3629,0.66508,0.14774,35.93134,0.87232,0.18496,28.40909,0.74041,0.18226,22.48202,0.90358,0.15244,17.79613,0.84127,0.2151,14.06813,0.79869,0.21673,11.1448,1.18538,0.22511,8.81772,0.99775,0.21995,6.97545,1.13063,0.10085,5.5173,0.68894,0.20381,4.36941,1.46937,0.25188,3.45686,0.94787,0.30146,2.73547,1.00442,0.11916,2.16054,0.78658,0.06245,1.70952,0.99764,0.09257,1.35352,1.35052,0.126,1.07079,1.54093,0.09657,0.84734,1.2519,0.07362,0.67072,1.2834,0.02608,0.53067,0.81286,0.13187,0.41976,0.78075,0.17293,0.33183,1.10185,0.20832,0.26261,1.73056,0.21826,0.20791,1.09594,0.09707,0.16452,1.05079,-0.00803,0.13007,1.86326,0.32048,0.10309,1.86776,-0.11312,0.08153,1.21096,0.24114,0.06443,1.10583,0.40363,0.05102,1.1554,0.48874,0.04042,1.48316,0.3425,0.03192,1.28669,0.52186,0.02528,1.81872,0.40801,0.01999,0.91089,0.66497,35,90
7053270,15829.126,0.5032,0.00459,12516.703,0.71464,0.00441,9909.4424,0.37928,0.01535,7835.48,0.29206,0.02332,6217.2461,0.41707,0.03486,4905.291,0.30696,0.0439,3881.2737,0.38015,0.05268,3070.9827,0.60688,0.05554,2430.7778,0.6627,0.053,1923.1537,0.7992,0.0621,1522.4358,0.35013,0.06708,1203.8446,0.59728,0.0823,952.86591,0.37084,0.0647,754.27557,0.61192,0.07314,596.71857,0.54865,0.09926,471.96338,0.86085,0.08916,373.20856,0.58952,0.09281,295.47278,1.06172,0.10039,233.87738,0.52084,0.11161,185.05922,0.62833,0.10426,146.35823,0.72683,0.08861,115.77804,0.55653,0.1087,91.6721,0.78964,0.12878,72.51701,0.51689,0.14191,57.36816,0.5649,0.09942,45.3629,0.59624,0.13155,35.93134,0.66085,0.12307,28.40909,0.60643,0.15841,22.48202,1.09007,0.10075,17.79613,0.77124,0.1958,14.06813,1.02929,0.14758,11.1448,1.11754,0.20666,8.81772,0.91607,0.25258,6.97545,1.01638,0.2242,5.5173,1.10808,0.068,4.36941,1.25213,0.15583,3.45686,1.05223,0.09633,2.73547,1.08627,0.26251,2.16054,1.34982,0.03897,1.70952,1.12494,0.06133,1.35352,1.576,0.05024,1.07079,1.39,0.01984,0.84734,0.94876,0.06234,0.67072,1.28466,0.05214,0.53067,1.27026,0.15981,0.41976,1.09268,0.15381,0.33183,1.19497,0.04693,0.26261,1.56091,0.18203,0.20791,1.42907,0.07026,0.16452,1.25225,0.09733,0.13007,0.87251,0.14034,0.10309,1.3912,0.34234,0.08153,1.32221,-0.24565,0.06443,1.30431,0.16626,0.05102,1.74845,0.20711,0.04042,1.82985,0.17212,0.03192,1.45492,0.37565,0.02528,0.87763,0.4162,0.01999,0.28664,0.79694,35,80
7053270,15829.126,0.67175,-0.00845,12516.703,0.78109,0.00365,9909.4424,0.42397,0.02765,7835.48,0.89137,0.01828,6217.2461,0.58751,0.02893,4905.291,0.85681,0.04253,3881.2737,0.56321,0.04447,3070.9827,0.7221,0.04627,2430.7778,0.44487,0.04232,1923.1537,0.80411,0.06551,1522.4358,0.66221,0.05563,1203.8446,0.37601,0.06007,952.86591,0.444,0.06403,754.27557,0.55121,0.09721,596.71857,0.5343,0.0807,471.96338,0.75676,0.09559,373.20856,1.10708,0.10212,295.47278,0.7905,0.08039,233.87738,0.44186,0.09599,185.05922,0.68901,0.08486,146.35823,0.46829,0.12959,115.77804,1.06965,0.08891,91.6721,0.50134,0.11415,72.51701,0.77224,0.12667,57.36816,0.82155,0.15733,45.3629,0.88659,0.13017,35.93134,1.14465,0.15582,28.40909,0.63109,0.09779,22.48202,0.62661,0.23857,17.79613,0.91907,0.10803,14.06813,0.74866,0.20794,11.1448,0.76137,0.09903,8.81772,1.06899,0.14724,6.97545,1.36538,0.05969,5.5173,0.80947,0.321,4.36941,1.4675,0.22628,3.45686,1.03045,0.18776,2.73547,0.88903,0.0763,2.16054,1.53768,0.18822,1.70952,1.02215,-0.01863,1.35352,1.34979,0.07182,1.07079,1.28211,0.11638,0.84734,0.91548,0.12976,0.67072,1.1629,0.02902,0.53067,0.71398,0.03155,0.41976,1.80246,0.12806,0.33183,1.33573,0.10472,0.26261,1.45389,0.06445,0.20791,1.06591,0.01599,0.16452,1.3935,0.01812,0.13007,0.99045,0.32752,0.10309,0.57137,0.41882,0.08153,1.11209,0.14513,0.06443,1.01326,0.35023,0.05102,1.69413,0.26061,0.04042,1.81016,0.12705,0.03192,1.6647,0.09012,0.02528,1.61497,0.24537,0.01999,1.48424,0.27692,45,70
7053270,15829.126,0.4008,-0.0031,12516.703,0.27973,0.01578,9909.4424,0.75752,0.02305,7835.48,0.63074,0.02564,6217.2461,0.29994,0.03702,4905.291,0.33826,0.04693,3881.2737,0.50878,0.0521,3070.9827,0.38957,0.04743,2430.7778,0.33231,0.05069,1923.1537,0.85735,0.07241,1522.4358,0.55514,0.066,1203.8446,1.1455,0.05666,952.86591,0.4972,0.0771,754.27557,0.76634,0.06116,596.71857,0.71318,0.08054,471.96338,0.66386,0.08765,373.20856,0.82789,0.09934,295.47278,0.42824,0.12535,233.87738,0.482,0.09984,185.05922,0.50706,0.09935,146.35823,1.33124,0.09911,115.77804,0.70224,0.08989,91.6721,0.72237,0.10169,72.51701,0.77564,0.12589,57.36816,0.68021,0.08674,45.3629,0.97053,0.12424,35.93134,1.27309,0.14639,28.40909,0.85196,0.0921,22.48202,0.69433,0.14954,17.79613,0.70894,0.14802,14.06813,0.90161,0.1688,11.1448,1.18481,0.12058,8.81772,0.73203,0.13009,6.97545,1.37862,0.18078,5.5173,1.30719,0.19572,4.36941,1.61405,0.17556,3.45686,1.41349,0.13192,2.73547,1.13881,0.13216,2.16054,1.13555,0.11281,1.70952,1.42109,0.19245,1.35352,1.15757,0.03407,1.07079,1.04947,0.12603,0.84734,1.09726,0.17428,0.67072,1.10849,0.13793,0.53067,1.53602,-0.04054,0.41976,0.84145,0.09173,0.33183,1.37777,0.11024,0.26261,0.99253,0.14258,0.20791,1.13095,0.24837,0.16452,1.49887,0.11188,0.13007,1.27313,0.03612,0.10309,1.49131,0.48371,0.08153,2.0281,-0.07258,0.06443,1.21495,0.04507,0.05102,1.32822,-0.01852,0.04042,1.26395,0.34222,0.03192,2.36557,0.21451,0.02528,1.37989,0.57322,0.01999,1.04851,0.29982,45,79
7053270,15829.126,0.37781,-0.01305,12516.703,0.69398,0.00847,9909.4424,0.28618,0.01866,7835.48,0.43205,0.03537,6217.2461,0.40518,0.03444,4905.291,0.84611,0.03371,3881.2737,0.90419,0.04285,3070.9827,0.75815,0.04855,2430.7778,0.42283,0.05619,1923.1537,0.65153,0.06045,1522.4358,0.41875,0.06328,1203.8446,0.92868,0.05752,952.86591,0.48653,0.07198,754.27557,0.64573,0.09584,596.71857,0.54393,0.07232,471.96338,0.69898,0.09471,373.20856,0.88568,0.10345,295.47278,0.76413,0.06259,233.87738,0.78103,0.1127,185.05922,0.87592,0.10895,146.35823,0.46829,0.12648,115.77804,0.61272,0.1309,91.6721,0.95997,0.12852,72.51701,0.53911,0.14453,57.36816,0.74982,0.08048,45.3629,1.11745,0.13912,35.93134,1.03717,0.16104,28.40909,0.74254,0.18251,22.48202,0.88642,0.17887,17.79613,0.85474,0.16063,14.06813,0.70329,0.21336,11.1448,0.95943,0.16643,8.81772,1.40338,0.10251,6.97545,1.12225,0.27015,5.5173,1.32848,0.21165,4.36941,1.069,0.1897,3.45686,1.03514,0.02354,2.73547,1.09349,0.24696,2.16054,0.79186,0.0667,1.70952,1.13553,0.07904,1.35352,1.17584,0.08518,1.07079,1.29263,0.04684,0.84734,1.06607,0.12696,0.67072,0.93263,0.15514,0.53067,1.02527,0.02259,0.41976,1.36508,0.14842,0.33183,1.23735,0.08563,0.26261,1.22394,-0.09302,0.20791,1.27786,0.35285,0.16452,1.18336,0.13859,0.13007,1.23069,-0.03121,0.10309,0.77732,0.32526,0.08153,1.16714,0.44528,0.06443,1.3248,0.26021,0.05102,1.14088,0.54629,0.04042,2.03286,0.21501,0.03192,1.59149,0.24374,0.02528,1.05223,0.53168,0.01999,1.47049,-0.18209,35,79
7053270,15829.126,0.39918,-0.00144,12516.703,0.69933,0.00223,9909.4424,0.67946,0.00492,7835.48,0.29206,0.02485,6217.2461,0.51488,0.038,4905.291,0.35018,0.03343,3881.2737,0.7627,0.05479,3070.9827,0.32305,0.05665,2430.7778,0.59697,0.06586,1923.1537,0.34108,0.05713,1522.4358,0.78906,0.06393,1203.8446,0.80234,0.0604,952.86591,0.57222,0.06825,754.27557,0.69319,0.09534,596.71857,0.42577,0.08575,471.96338,0.59944,0.08426,373.20856,0.51527,0.10146,295.47278,0.76139,0.06456,233.87738,0.78764,0.08351,185.05922,1.2758,0.10653,146.35823,0.66211,0.09238,115.77804,0.64213,0.08606,91.6721,0.67585,0.12371,72.51701,0.70683,0.1167,57.36816,0.53579,0.11985,45.3629,0.90468,0.12593,35.93134,0.75002,0.18555,28.40909,0.71125,0.14914,22.48202,0.8512,0.14035,17.79613,0.67604,0.15741,14.06813,1.03562,0.16186,11.1448,0.98275,0.22112,8.81772,0.9639,0.0781,6.97545,0.97763,0.29173,5.5173,1.12578,0.21958,4.36941,1.57754,0.20264,3.45686,0.93915,0.18995,2.73547,1.04842,0.01007,2.16054,1.21436,0.07219,1.70952,1.37638,0.06601,1.35352,1.21004,0.17889,1.07079,1.20836,0.0689,0.84734,1.18765,0.11372,0.67072,1.27797,0.10809,0.53067,1.2409,0.1002,0.41976,1.2088,0.00627,0.33183,1.05561,0.13014,0.26261,1.17719,0.1376,0.20791,1.62641,0.04445,0.16452,0.9557,0.22899,0.13007,1.61966,0.03732,0.10309,1.2213,0.05163,0.08153,1.30505,0.26968,0.06443,1.31356,-0.1955,0.05102,1.13939,0.00704,0.04042,1.56321,0.21646,0.03192,1.35884,0.48946,0.02528,1.62497,0.20269,0.01999,0.34576,0.32699,35,85
7053270,15829.126,0.47315,-0.00769,12516.703,0.44304,0.02318,9909.4424,0.84504,0.01355,7835.48,0.72938,0.02639,6217.2461,0.69652,0.04143,4905.291,0.51806,0.03988,3881.2737,0.49703,0.04458,3070.9827,0.46665,0.05916,2430.7778,0.59288,0.04921,1923.1537,0.5761,0.03995,1522.4358,0.46393,0.07158,1203.8446,0.42437,0.06669,952.86591,0.56174,0.05538,754.27557,0.63412,0.07248,596.71857,0.45197,0.07218,471.96338,0.66583,0.09179,373.20856,0.6612,0.07044,295.47278,0.51297,0.07262,233.87738,0.45715,0.10784,185.05922,0.78983,0.08579,146.35823,0.91406,0.11571,115.77804,0.84379,0.12248,91.6721,0.6979,0.13541,72.51701,0.56623,0.12906,57.36816,0.81665,0.14598,45.3629,0.95821,0.13312,35.93134,0.58104,0.15669,28.40909,1.02523,0.11402,22.48202,1.05386,0.13501,17.79613,0.73535,0.15732,14.06813,0.94944,0.21286,11.1448,0.88848,0.10841,8.81772,1.06282,0.07657,6.97545,1.08515,0.18996,5.5173,1.33777,0.0285,4.36941,0.79876,0.30505,3.45686,1.23,0.08925,2.73547,0.96343,0.16769,2.16054,0.91246,0.04623,1.70952,0.92088,0.06755,1.35352,1.36626,0.07641,1.07079,1.22258,0.02122,0.84734,1.46125,0.16055,0.67072,1.11708,0.10738,0.53067,1.7221,0.02424,0.41976,1.26497,0.10709,0.33183,0.9887,0.04722,0.26261,1.24632,0.07767,0.20791,1.23015,0.12636,0.16452,1.90787,0.00557,0.13007,1.59413,0.17718,0.10309,0.99733,0.22354,0.08153,1.2706,0.05088,0.06443,1.81894,-0.03865,0.05102,1.43237,0.23959,0.04042,0.95374,0.42666,0.03192,1.03603,0.30718,0.02528,0.96502,0.14668,0.01999,2.17697,0.59701,35,68
7053270,15829.126,0.27335,-0.01546,12516.703,0.29589,0.00386,9909.4424,0.57416,0.00933,7835.48,0.51449,0.02338,6217.2461,0.5195,0.03054,4905.291,0.71655,0.04247,3881.2737,0.92613,0.04099,3070.9827,0.78043,0.04582,2430.7778,0.43777,0.0356,1923.1537,0.34108,0.05635,1522.4358,0.86623,0.04944,1203.8446,0.54304,0.06342,952.86591,0.90413,0.08241,754.27557,0.38109,0.07039,596.71857,0.54878,0.06744,471.96338,0.54906,0.05671,373.20856,0.86321,0.09463,295.47278,0.76753,0.10171,233.87738,0.66206,0.08681,185.05922,0.64046,0.11817,146.35823,0.58885,0.11429,115.77804,0.93227,0.12239,91.6721,0.6166,0.10379,72.51701,0.86671,0.11313,57.36816,0.53579,0.10774,45.3629,0.91448,0.16787,35.93134,0.93576,0.12572,28.40909,0.60643,0.20057,22.48202,1.09012,0.2224,17.79613,0.75217,0.18955,14.06813,0.96609,0.19998,11.1448,0.89565,0.21637,8.81772,1.20593,0.15007,6.97545,1.20386,0.07395,5.5173,0.95143,0.03283,4.36941,1.02682,0.18411,3.45686,1.56552,0.09838,2.73547,1.50784,0.22652,2.16054,0.93022,0.07707,1.70952,1.40146,0.03421,1.35352,1.346,0.17036,1.07079,1.32425,0.07944,0.84734,1.13345,0.15012,0.67072,1.13145,-0.00231,0.53067,0.98189,0.07264,0.41976,1.33578,0.09237,0.33183,1.53854,0.14511,0.26261,1.36941,0.15808,0.20791,1.2304,0.14545,0.16452,0.66586,0.15522,0.13007,1.09479,-0.00056,0.10309,1.24127,0.05922,0.08153,1.36667,0.03448,0.06443,1.38464,0.55605,0.05102,1.45048,0.17818,0.04042,1.3136,0.111,0.03192,1.33311,0.18554,0.02528,1.50335,0.27539,0.01999,1.34439,0.33468,25,85
7053270,15829.126,0.47912,-0.02211,12516.703,0.37511,0.0098,9909.4424,0.56812,0.02846,7835.48,0.4747,0.02316,6217.2461,0.7603,0.03614,4905.291,0.65165,0.04315,3881.2737,0.57123,0.03525,3070.9827,0.79545,0.0359,2430.7778,0.55998,0.05784,1923.1537,0.51189,0.04858,1522.4358,0.43633,0.07008,1203.8446,0.64393,0.06785,952.86591,0.60699,0.05768,754.27557,0.46725,0.09011,596.71857,0.80751,0.07662,471.96338,0.97739,0.08207,373.20856,0.791,0.12304,295.47278,0.50701,0.0776,233.87738,0.80802,0.10324,185.05922,0.51527,0.09785,146.35823,0.70942,0.10815,115.77804,0.91101,0.1102,91.6721,0.91045,0.14618,72.51701,0.65057,0.1165,57.36816,0.65271,0.12922,45.3629,0.74701,0.13718,35.93134,0.89222,0.12273,28.40909,0.64772,0.17515,22.48202,0.74898,0.18025,17.79613,0.76232,0.23969,14.06813,0.65739,0.13454,11.1448,0.66793,0.26788,8.81772,0.79487,0.17806,6.97545,1.33956,0.11971,5.5173,1.05961,0.25238,4.36941,1.05669,0.1968,3.45686,0.81959,0.05165,2.73547,1.35219,0.021,2.16054,1.0755,0.08688,1.70952,1.48203,0.12198,1.35352,1.2668,0.09505,1.07079,1.05165,0.18229,0.84734,1.07672,0.21151,0.67072,1.22485,0.05903,0.53067,1.16296,0.03529,0.41976,1.28751,0.13411,0.33183,1.07821,0.09257,0.26261,1.25667,-0.00415,0.20791,0.98644,0.26449,0.16452,1.29003,0.09761,0.13007,1.21367,0.06822,0.10309,1.66067,0.30368,0.08153,1.35194,-0.07023,0.06443,1.71522,0.18954,0.05102,1.31522,0.06278,0.04042,1.74862,0.40139,0.03192,1.69353,0.45935,0.02528,1.84994,0.56844,0.01999,1.32808,0.23059,35,83
7053270,15829.126,0.59055,-0.00475,12516.703,0.7433,0.00935,9909.4424,0.356,0.01128,7835.48,0.94747,0.02345,6217.2461,0.29994,0.03202,4905.291,0.30696,0.03464,3881.2737,0.39272,0.0474,3070.9827,0.75395,0.0461,2430.7778,0.45961,0.04584,1923.1537,0.34108,0.07833,1522.4358,0.77578,0.05996,1203.8446,0.69237,0.05357,952.86591,1.23542,0.06611,754.27557,0.62955,0.05098,596.71857,0.46516,0.08992,471.96338,1.00311,0.08631,373.20856,1.13858,0.11734,295.47278,0.81972,0.06296,233.87738,0.72559,0.09649,185.05922,0.90868,0.07859,146.35823,0.73447,0.11747,115.77804,0.60992,0.11061,91.6721,0.99029,0.15803,72.51701,1.01675,0.13145,57.36816,0.88209,0.13909,45.3629,0.64124,0.15442,35.93134,0.9582,0.16938,28.40909,0.84445,0.13006,22.48202,0.64572,0.18211,17.79613,0.9409,0.16962,14.06813,0.86608,0.18445,11.1448,0.94113,0.2459,8.81772,0.70734,0.17372,6.97545,0.88598,0.26056,5.5173,1.33824,0.2213,4.36941,1.05292,0.18617,3.45686,1.48429,0.30063,2.73547,1.50981,0.13468,2.16054,1.13195,0.15425,1.70952,1.09378,0.11031,1.35352,1.5111,0.09391,1.07079,1.3057,0.17673,0.84734,1.38448,0.04703,0.67072,1.18629,0.13668,0.53067,1.23466,0.00969,0.41976,1.1572,0.08157,0.33183,1.32218,0.15902,0.26261,1.26565,0.19667,0.20791,1.17876,0.12674,0.16452,1.49707,0.15347,0.13007,1.46486,0.20879,0.10309,1.249,0.34433,0.08153,0.76677,0.2356,0.06443,1.483,0.06699,0.05102,1.69674,0.09729,0.04042,1.11327,0.67353,0.03192,1.58715,0.59497,0.02528,1.54453,0.63393,0.01999,0.86395,0.63862,45,84
