Cell,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
8511097,15829.126,0.49178,-0.00264,12516.703,0.50954,0.01009,9909.4424,0.49596,0.02036,7835.48,0.51561,0.00924,6217.2461,0.36804,0.03601,4905.291,0.91079,0.04225,3881.2737,0.54829,0.11942,3070.9827,0.55399,0.05255,2430.7778,0.55857,0.04051,1923.1537,0.89836,0.06137,1522.4358,0.65493,0.06547,1203.8446,0.58826,0.11171,952.86591,0.7219,0.07166,754.27557,0.38109,0.07752,596.71857,0.62189,0.11204,471.96338,0.63409,0.08588,373.20856,0.77796,0.14185,295.47278,0.66011,0.06259,233.87738,0.67395,0.10823,185.05922,1.00894,0.08331,146.35823,0.49689,0.11042,115.77804,0.48404,0.15458,91.6721,0.79196,0.10744,72.51701,1.07814,0.13884,57.36816,0.77346,0.15071,45.3629,0.79442,0.16099,35.93134,0.77038,0.15568,28.40909,0.84208,0.12753,22.48202,1.2447,0.17261,17.79613,0.97448,0.19481,14.06813,0.93104,0.18399,11.1448,0.9637,0.23399,8.81772,1.12013,0.24533,6.97545,0.80649,0.18109,5.5173,0.93389,0.16453,4.36941,1.08896,0.23226,3.45686,1.11514,0.1548,2.73547,1.8536,0.14411,2.16054,1.1591,0.13372,1.70952,1.31146,0.11641,1.35352,1.55589,0.06237,1.07079,0.71358,0.15746,0.84734,1.37595,0.17283,0.67072,1.22306,0.10344,0.53067,1.23258,0.10338,0.41976,0.71707,0.1067,0.33183,1.06752,0.29023,0.26261,1.26628,0.12393,0.20791,1.2797,0.28133,0.16452,1.29471,0.15592,0.13007,0.95196,0.17757,0.10309,1.25784,-0.50269,0.08153,1.35334,1.22593,0.06443,1.38593,-0.04684,0.05102,0.32274,0.6823,0.04042,0.99583,0.24432,0.03192,1.53778,0.37751,0.02528,1.7157,-0.96454,0.01999,-0.17565,0.50504,35,78
8511097,15829.126,0.4492,-0.02771,12516.703,0.38824,0.01009,9909.4424,0.6119,0.04361,7835.48,0.44803,0.0289,6217.2461,0.34694,0.03601,4905.291,0.30696,0.04225,3881.2737,0.47846,0.04767,3070.9827,0.63036,0.05255,2430.7778,0.44469,0.0356,1923.1537,0.79495,0.03995,1522.4358,0.69327,0.06758,1203.8446,0.36789,0.06953,952.86591,0.79438,0.07502,754.27557,0.93821,0.08494,596.71857,0.44095,0.12554,471.96338,0.4801,0.11715,373.20856,0.96008,0.14643,295.47278,0.53476,0.11248,233.87738,0.54396,0.09959,185.05922,0.95249,0.10369,146.35823,0.75173,0.07526,115.77804,0.59885,0.0962,91.6721,0.79816,0.14485,72.51701,0.75408,0.11653,57.36816,0.99748,0.12008,45.3629,1.24116,0.15543,35.93134,0.67215,0.13147,28.40909,0.72453,0.15062,22.48202,0.86951,0.07623,17.79613,0.93437,0.15121,14.06813,1.52696,0.11119,11.1448,0.9637,0.2441,8.81772,0.89926,0.1502,6.97545,1.0833,0.18109,5.5173,1.39472,0.17392,4.36941,1.10122,0.25778,3.45686,1.38579,0.11912,2.73547,1.23811,0.05817,2.16054,1.15948,0.19391,1.70952,1.17609,0.10888,1.35352,1.0833,0.15011,1.07079,1.20269,0.12291,0.84734,1.20946,0.10529,0.67072,1.10993,0.2499,0.53067,1.41538,0.10338,0.41976,1.39895,0.09084,0.33183,1.25414,0.11351,0.26261,0.69713,0.01369,0.20791,0.65427,0.16107,0.16452,1.26622,0.16087,0.13007,1.31123,0.35611,0.10309,0.89006,0.44162,0.08153,1.91026,-0.11788,0.06443,1.29136,0.68883,0.05102,1.56502,1.41205,0.04042,1.88327,0.3935,0.03192,1.49709,-0.70758,0.02528,0.60181,0.43894,0.01999,1.58341,1.0879,45,78
8511097,15829.126,0.31437,-0.02835,12516.703,0.42299,-0.00098,9909.4424,0.50758,0.01587,7835.48,0.44302,0.01435,6217.2461,0.32804,0.03682,4905.291,0.38334,0.03524,3881.2737,0.46239,0.02792,3070.9827,0.47419,0.06012,2430.7778,0.43296,0.0356,1923.1537,0.66905,0.04547,1522.4358,0.41938,0.05278,1203.8446,0.54133,0.07812,952.86591,0.46531,0.04743,754.27557,0.73992,0.07752,596.71857,0.60465,0.0937,471.96338,0.66054,0.05671,373.20856,0.61497,0.07771,295.47278,0.47796,0.06437,233.87738,0.67395,0.10532,185.05922,0.88898,0.1121,146.35823,0.72468,0.1047,115.77804,0.71244,0.07661,91.6721,0.7339,0.11694,72.51701,0.81046,0.19572,57.36816,0.54888,0.15345,45.3629,0.79442,0.14889,35.93134,0.99973,0.11623,28.40909,0.84208,0.19657,22.48202,1.12672,0.22205,17.79613,0.8704,0.2166,14.06813,0.72949,0.14465,11.1448,0.9637,0.25653,8.81772,0.94174,0.09131,6.97545,1.11377,0.19127,5.5173,1.17078,0.17392,4.36941,1.08896,0.25692,3.45686,1.02099,0.08873,2.73547,1.33093,0.15068,2.16054,1.04392,0.12941,1.70952,1.44158,0.18738,1.35352,0.71029,0.29238,1.07079,0.97826,0.13184,0.84734,1.31189,0.08405,0.67072,1.3714,0.11553,0.53067,1.13605,0.06172,0.41976,0.89275,0.21541,0.33183,1.50817,0.11517,0.26261,1.37322,0.164,0.20791,0.89964,0.08781,0.16452,0.8432,0.20751,0.13007,1.19596,-0.03751,0.10309,1.24963,0.12918,0.08153,1.71389,0.18187,0.06443,1.06154,-0.0188,0.05102,1.52639,0.25679,0.04042,1.48088,-0.22232,0.03192,1.29037,0.37751,0.02528,2.02652,0.19593,0.01999,2.95957,0.28705,45,78
8511097,15829.126,0.67048,-0.00585,12516.703,0.46418,0.01344,9909.4424,0.46717,0.01039,7835.48,0.57688,0.03222,6217.2461,0.6135,0.0475,4905.291,0.57724,0.04122,3881.2737,0.46222,0.06083,3070.9827,0.61957,0.04093,2430.7778,0.51752,0.05441,1923.1537,0.50608,0.0726,1522.4358,0.57795,0.06547,1203.8446,0.73259,0.06381,952.86591,0.55514,0.05709,754.27557,0.77839,0.07414,596.71857,0.62189,0.08591,471.96338,0.69602,0.08588,373.20856,0.80916,0.09024,295.47278,0.42824,0.12204,233.87738,0.74262,0.09359,185.05922,0.75673,0.10195,146.35823,0.70354,0.10071,115.77804,0.71945,0.12369,91.6721,0.69249,0.07917,72.51701,0.95072,0.15579,57.36816,0.77346,0.12216,45.3629,0.83991,0.15961,35.93134,0.81701,0.16174,28.40909,0.95902,0.13498,22.48202,1.04653,0.16866,17.79613,1.01044,0.17935,14.06813,1.08468,0.09073,11.1448,0.9637,0.11953,8.81772,0.67535,0.17218,6.97545,0.87162,0.22344,5.5173,0.87814,0.05758,4.36941,1.13571,0.02481,3.45686,1.02874,0.21874,2.73547,1.14086,0.18661,2.16054,1.00114,0.11197,1.70952,1.29069,0.01038,1.35352,0.92254,0.10639,1.07079,1.2593,0.14921,0.84734,0.85521,0.05691,0.67072,1.23747,0.09104,0.53067,1.79414,-0.02044,0.41976,1.29492,0.1834,0.33183,1.23021,0.02212,0.26261,1.35805,0.05943,0.20791,1.5637,0.08439,0.16452,1.25549,0.22399,0.13007,1.50657,0.1433,0.10309,1.37826,0.17307,0.08153,0.76273,-0.07616,0.06443,1.59886,0.07189,0.05102,1.04287,0.29462,0.04042,1.36533,0.45144,0.03192,1.35076,-0.4092,0.02528,1.73622,0.59321,0.01999,1.97156,0.84289,45,63
8511097,15829.126,0.5818,0.00668,12516.703,0.54849,0.01347,9909.4424,0.60369,0.01967,7835.48,0.5941,0.03708,6217.2461,0.34486,0.02877,4905.291,0.44978,0.03438,3881.2737,0.5509,0.05497,3070.9827,0.61445,0.03205,2430.7778,0.55185,0.06785,1923.1537,0.61482,0.06386,1522.4358,0.57795,0.07692,1203.8446,0.42318,0.05928,952.86591,0.7799,0.06933,754.27557,0.59727,0.07752,596.71857,0.50355,0.08828,471.96338,0.76157,0.09773,373.20856,0.64685,0.09485,295.47278,0.65316,0.06259,233.87738,0.59732,0.08752,185.05922,0.6465,0.10565,146.35823,0.46829,0.10948,115.77804,0.71945,0.13016,91.6721,0.73621,0.12066,72.51701,0.66315,0.11377,57.36816,0.92275,0.18133,45.3629,0.89089,0.15524,35.93134,0.78717,0.18097,28.40909,0.85533,0.10296,22.48202,0.82982,0.21458,17.79613,0.93037,0.16592,14.06813,1.02841,0.21405,11.1448,0.8593,0.20567,8.81772,1.28113,0.2059,6.97545,1.07679,0.16743,5.5173,1.09606,0.12179,4.36941,1.04569,0.19442,3.45686,1.10594,0.15804,2.73547,1.08134,0.164,2.16054,0.99936,0.12432,1.70952,0.70735,0.12878,1.35352,1.19046,0.08928,1.07079,1.68164,0.11654,0.84734,1.02285,0.17335,0.67072,1.25279,0.15282,0.53067,1.4878,0.04139,0.41976,0.94921,0.09867,0.33183,1.14716,0.13751,0.26261,1.1457,0.11421,0.20791,1.48494,0.27748,0.16452,1.19307,0.03178,0.13007,1.68818,0.17782,0.10309,1.04192,0.15552,0.08153,0.89186,0.30284,0.06443,0.92578,0.05113,0.05102,1.00878,0.35255,0.04042,1.5685,0.32279,0.03192,1.39795,0.54594,0.02528,1.00463,0.60763,0.01999,1.28932,0.64348,45,87
8511097,15829.126,0.49646,-0.00667,12516.703,0.40296,0.02809,9909.4424,0.63888,0.02156,7835.48,0.31122,0.03504,6217.2461,0.62057,0.03739,4905.291,0.48294,0.04146,3881.2737,0.41281,0.04757,3070.9827,0.6111,0.05389,2430.7778,0.48575,0.0356,1923.1537,0.70978,0.0747,1522.4358,0.37227,0.05822,1203.8446,0.46958,0.06711,952.86591,0.50602,0.07927,754.27557,0.64695,0.06119,596.71857,0.5801,0.08647,471.96338,0.66844,0.06641,373.20856,0.53166,0.09024,295.47278,0.85652,0.11624,233.87738,0.79176,0.09025,185.05922,0.56824,0.12765,146.35823,0.72722,0.14535,115.77804,0.71945,0.07661,91.6721,0.76112,0.11335,72.51701,0.68368,0.1415,57.36816,0.83561,0.10172,45.3629,0.89741,0.17451,35.93134,0.844,0.1425,28.40909,0.96188,0.13015,22.48202,0.97987,0.17261,17.79613,0.92036,0.22286,14.06813,0.70904,0.13851,11.1448,1.08635,0.15898,8.81772,0.99794,0.18498,6.97545,0.88614,0.09939,5.5173,0.85547,0.1776,4.36941,0.94808,0.12723,3.45686,1.25825,0.13122,2.73547,1.38664,0.16871,2.16054,1.13915,0.01812,1.70952,1.18305,0.07417,1.35352,1.14746,0.18153,1.07079,1.06631,0.1632,0.84734,1.13631,0.09964,0.67072,1.22915,0.07065,0.53067,1.43774,0.106,0.41976,0.99143,0.08038,0.33183,1.32508,0.06945,0.26261,1.26161,0.05387,0.20791,1.07613,0.1079,0.16452,1.15932,0.03955,0.13007,1.34501,0.21449,0.10309,1.68335,0.37076,0.08153,0.86301,0.27972,0.06443,0.96697,0.1562,0.05102,1.3405,0.23568,0.04042,1.70816,0.2896,0.03192,1.42634,0.29875,0.02528,1.85336,0.69609,0.01999,1.28086,0.30103,25,84
8511097,15829.126,0.53808,-0.00513,12516.703,0.68365,0.01646,9909.4424,0.60249,0.02045,7835.48,0.44422,0.03546,6217.2461,0.52895,0.03487,4905.291,0.53238,0.03754,3881.2737,0.5534,0.03249,3070.9827,0.40205,0.0486,2430.7778,0.43021,0.0356,1923.1537,0.57148,0.05247,1522.4358,0.35013,0.07145,1203.8446,0.60244,0.0519,952.86591,0.64722,0.08087,754.27557,0.70885,0.06678,596.71857,0.56831,0.10233,471.96338,0.40409,0.09237,373.20856,0.44055,0.10802,295.47278,0.68069,0.07995,233.87738,0.54969,0.08517,185.05922,0.78888,0.12264,146.35823,0.612,0.10128,115.77804,0.62577,0.11551,91.6721,0.79161,0.12338,72.51701,0.9209,0.11696,57.36816,0.72086,0.16377,45.3629,0.65206,0.15566,35.93134,0.85882,0.12369,28.40909,0.84208,0.16433,22.48202,0.92665,0.17035,17.79613,1.01939,0.15901,14.06813,0.90031,0.15599,11.1448,1.001,0.21136,8.81772,0.82504,0.22743,6.97545,0.75947,0.19125,5.5173,0.87926,0.0876,4.36941,1.10513,0.18604,3.45686,1.22997,0.08007,2.73547,1.48773,0.14701,2.16054,0.94106,0.10562,1.70952,1.02774,0.14095,1.35352,1.3467,0.11596,1.07079,1.07408,-0.03971,0.84734,1.26516,0.04144,0.67072,1.37175,0.0702,0.53067,1.04548,0.169,0.41976,1.02223,0.02712,0.33183,1.31044,0.00531,0.26261,1.46963,-0.02576,0.20791,1.01999,0.12603,0.16452,1.70315,0.08403,0.13007,0.98977,0.29188,0.10309,0.98521,0.21022,0.08153,1.30567,0.04886,0.06443,1.26105,0.14773,0.05102,1.42869,0.30403,0.04042,1.52256,0.07406,0.03192,1.55765,0.27946,0.02528,1.36625,0.86132,0.01999,1.74066,0.18295,25,78
8511097,15829.126,0.49178,0.00286,12516.703,0.6978,0.00644,9909.4424,0.50758,0.02884,7835.48,0.51742,0.03484,6217.2461,0.66977,0.03302,4905.291,0.57815,0.04225,3881.2737,0.51489,0.04492,3070.9827,0.65572,0.05333,2430.7778,0.58221,0.04476,1923.1537,0.63609,0.06604,1522.4358,0.47734,0.0742,1203.8446,0.53431,0.04945,952.86591,0.4855,0.06618,754.27557,0.6102,0.06888,596.71857,0.71618,0.08183,471.96338,0.73989,0.10327,373.20856,0.57001,0.08493,295.47278,0.76334,0.09197,233.87738,0.58845,0.08204,185.05922,0.96013,0.08794,146.35823,0.71038,0.08758,115.77804,0.81116,0.08056,91.6721,0.69557,0.11868,72.51701,0.71304,0.12544,57.36816,0.91054,0.13451,45.3629,0.77251,0.14285,35.93134,0.85647,0.18063,28.40909,0.95163,0.19186,22.48202,0.79494,0.22956,17.79613,0.99059,0.13672,14.06813,0.72657,0.18399,11.1448,0.90239,0.15664,8.81772,1.09341,0.20462,6.97545,1.25343,0.17734,5.5173,1.18742,0.04407,4.36941,1.09739,0.15088,3.45686,1.05975,0.23319,2.73547,1.10855,0.12975,2.16054,1.25637,0.12437,1.70952,1.08093,0.11833,1.35352,0.97188,0.13852,1.07079,1.01869,0.07042,0.84734,1.27402,0.07375,0.67072,1.15204,0.10344,0.53067,1.20136,0.04953,0.41976,1.24295,0.09781,0.33183,1.25414,0.03975,0.26261,1.15386,0.17553,0.20791,1.66664,0.07011,0.16452,1.00836,0.02843,0.13007,0.72085,0.09102,0.10309,1.35098,0.20122,0.08153,0.92819,0.31488,0.06443,1.68957,0.34438,0.05102,1.64242,0.3106,0.04042,1.94579,0.30447,0.03192,1.49678,0.26064,0.02528,1.33371,0.29513,0.01999,0.86178,0.00916,25,73
8511097,15829.126,0.37737,0.00796,12516.703,0.62835,0.0106,9909.4424,0.5029,0.0184,7835.48,0.44686,0.03186,6217.2461,0.49035,0.03843,4905.291,0.58941,0.05055,3881.2737,0.53301,0.03432,3070.9827,0.56024,0.05603,2430.7778,0.42003,0.06885,1923.1537,0.49732,0.07135,1522.4358,0.5217,0.06547,1203.8446,0.46137,0.04489,952.86591,0.66244,0.05944,754.27557,0.51861,0.07469,596.71857,0.63251,0.09513,471.96338,0.46778,0.08569,373.20856,0.87888,0.10348,295.47278,0.48087,0.09431,233.87738,0.57744,0.07899,185.05922,0.80528,0.10958,146.35823,0.89228,0.12116,115.77804,0.91584,0.13782,91.6721,0.82677,0.10713,72.51701,0.76263,0.1084,57.36816,0.73146,0.13828,45.3629,1.01336,0.13854,35.93134,0.78369,0.17397,28.40909,0.68014,0.1861,22.48202,0.79343,0.20023,17.79613,0.85708,0.16643,14.06813,1.02064,0.21663,11.1448,0.9637,0.14763,8.81772,0.99697,0.25107,6.97545,1.05365,0.11459,5.5173,1.23176,0.19703,4.36941,1.18149,0.10329,3.45686,1.16733,0.20968,2.73547,0.90981,0.26039,2.16054,0.78738,0.18543,1.70952,0.99379,0.14602,1.35352,1.07673,0.12271,1.07079,0.81634,0.0748,0.84734,1.47382,0.03006,0.67072,1.22306,0.02939,0.53067,1.32115,0.17005,0.41976,1.15288,-0.00992,0.33183,1.01843,0.16513,0.26261,1.31035,0.19046,0.20791,1.0117,0.1125,0.16452,1.16187,0.07763,0.13007,1.31939,0.16046,0.10309,1.15277,0.05619,0.08153,1.46471,-0.02673,0.06443,0.94914,0.16315,0.05102,1.39144,0.35778,0.04042,1.74546,0.3352,0.03192,1.2917,0.33659,0.02528,1.62834,0.30443,0.01999,1.65161,0.08474,45,77
8511097,15829.126,0.42916,-0.00131,12516.703,0.44353,0.01585,9909.4424,0.55716,0.01829,7835.48,0.3573,0.02388,6217.2461,0.6724,0.03839,4905.291,0.56893,0.04225,3881.2737,0.60284,0.04261,3070.9827,0.46596,0.0554,2430.7778,0.46607,0.04687,1923.1537,0.6575,0.07081,1522.4358,0.44482,0.0772,1203.8446,0.43832,0.0612,952.86591,0.61013,0.06896,754.27557,0.68173,0.05814,596.71857,0.51397,0.0927,471.96338,0.6942,0.09123,373.20856,0.49284,0.0957,295.47278,0.75615,0.08866,233.87738,0.70958,0.09424,185.05922,0.7726,0.09574,146.35823,0.60656,0.09236,115.77804,0.6832,0.12054,91.6721,0.62775,0.14143,72.51701,0.74903,0.11419,57.36816,0.89122,0.12834,45.3629,0.70541,0.13645,35.93134,1.04666,0.17031,28.40909,0.80417,0.17509,22.48202,0.66296,0.18157,17.79613,0.76922,0.19049,14.06813,0.93104,0.20906,11.1448,0.8635,0.14709,8.81772,1.11444,0.20661,6.97545,0.85551,0.25382,5.5173,0.98229,0.18593,4.36941,1.17439,0.21396,3.45686,1.04809,0.11485,2.73547,1.13202,0.07271,2.16054,1.08438,0.01033,1.70952,1.26767,0.20635,1.35352,1.16998,0.12486,1.07079,1.20269,0.15361,0.84734,1.02667,0.13377,0.67072,1.26286,0.06145,0.53067,1.06508,0.07345,0.41976,1.07801,0.11828,0.33183,1.34392,0.17985,0.26261,1.33215,0.14469,0.20791,1.3758,0.01043,0.16452,1.10818,0.03833,0.13007,1.226,-0.07662,0.10309,0.82568,0.19505,0.08153,0.96478,0.32047,0.06443,1.53626,0.34797,0.05102,1.29068,0.11998,0.04042,1.56368,0.24664,0.03192,1.32452,0.3613,0.02528,1.91307,0.35345,0.01999,1.53878,0.35475,25,81
