Battery,Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
3,6033991,15829.126,0.47618,-0.0099,12516.703,0.36095,-0.01158,9909.4424,0.50758,0.00057,7835.48,0.47316,0.0289,6217.2461,0.29994,0.11526,4905.291,0.82901,0.03624,3881.2737,0.67194,0.04767,3070.9827,0.62905,0.03742,2430.7778,0.33339,0.09155,1923.1537,0.63743,0.06137,1522.4358,0.83658,0.04238,1203.8446,0.58826,0.06953,952.86591,0.53083,0.15337,754.27557,0.88295,0.10493,596.71857,0.39226,0.08164,471.96338,0.63409,0.08588,373.20856,0.58142,0.11331,295.47278,0.57722,0.13506,233.87738,0.55189,0.11022,185.05922,0.72311,0.06985,146.35823,0.64845,0.12872,115.77804,0.86329,0.15534,91.6721,0.9348,0.12318,72.51701,1.04198,0.14765,57.36816,0.59764,0.16608,45.3629,0.79442,0.22711,35.93134,0.81701,0.15568,28.40909,0.60643,0.17819,22.48202,1.13341,0.17245,17.79613,0.89913,0.17935,14.06813,0.7747,0.18399,11.1448,0.9637,0.18596,8.81772,0.99697,0.27331,6.97545,1.45648,0.26385,5.5173,1.06052,0.19083,4.36941,0.75554,0.16555,3.45686,1.11514,0.25279,2.73547,1.05662,0.14411,2.16054,0.91606,0.18273,1.70952,0.77398,0.12416,1.35352,1.19046,0.11596,1.07079,1.25918,0.03307,0.84734,1.7494,0.07839,0.67072,1.22306,0.44952,0.53067,1.23258,0.10338,0.41976,0.83868,0.23127,0.33183,0.98473,0.08103,0.26261,1.26628,0.06143,0.20791,0.97686,0.32933,0.16452,0.62108,0.08314,0.13007,1.61826,0.17757,0.10309,1.10087,0.6621,0.08153,1.74131,0.46271,0.06443,1.38593,0.25438,0.05102,1.42869,0.28493,0.04042,2.25923,0.32475,0.03192,1.34618,0.08422,0.02528,0.56644,0.8595,0.01999,1.21021,1.05185,45,88
3,6033991,15829.126,0.49178,0.01341,12516.703,0.61664,-0.01033,9909.4424,0.34201,0.02036,7835.48,0.61548,0.00924,6217.2461,0.29994,0.03601,4905.291,0.6391,0.02353,3881.2737,0.54064,0.07778,3070.9827,0.50165,0.03198,2430.7778,0.556,0.06575,1923.1537,0.56806,0.06137,1522.4358,0.70032,0.09266,1203.8446,0.36045,0.07519,952.86591,0.72601,0.08202,754.27557,0.76871,0.13341,596.71857,0.56112,0.10122,471.96338,0.50205,0.09175,373.20856,0.49541,0.05947,295.47278,0.84785,0.10793,233.87738,0.80611,0.11207,185.05922,0.62835,0.07658,146.35823,1.11269,0.0861,115.77804,0.77297,0.08069,91.6721,0.50134,0.07917,72.51701,0.56351,0.12294,57.36816,1.03259,0.14778,45.3629,0.66788,0.17745,35.93134,0.58104,0.14506,28.40909,0.60643,0.14248,22.48202,0.96615,0.16573,17.79613,1.00747,0.17935,14.06813,0.65739,0.17488,11.1448,0.89435,0.16125,8.81772,0.83181,0.24129,6.97545,1.0302,0.24156,5.5173,1.06052,0.18697,4.36941,1.30141,0.10496,3.45686,1.04945,0.05511,2.73547,1.38464,0.17702,2.16054,1.1591,0.05976,1.70952,1.23978,0.12416,1.35352,1.19046,0.06332,1.07079,1.75953,0.0115,0.84734,1.31149,0.26706,0.67072,1.22306,0.10344,0.53067,0.99549,0.15341,0.41976,1.24295,0.1067,0.33183,1.34633,0.01916,0.26261,0.86697,0.02867,0.20791,1.15145,0.09259,0.16452,1.29471,-0.10481,0.13007,1.31123,0.2,0.10309,0.94727,-0.29708,0.08153,1.27824,-0.21626,0.06443,0.42141,0.25438,0.05102,1.88516,0.28493,0.04042,0.55928,1.22113,0.03192,0.75928,0.0464,0.02528,1.83309,0.57456,0.01999,1.19641,0.67328,45,82
3,6033991,15829.126,0.51706,-0.00264,12516.703,0.31623,0.01566,9909.4424,0.45467,0.0432,7835.48,0.6442,0.02628,6217.2461,0.68348,0.01688,4905.291,0.85438,0.04309,3881.2737,0.70283,0.03974,3070.9827,0.44126,0.08955,2430.7778,0.55857,0.0571,1923.1537,0.46284,0.0898,1522.4358,0.5752,0.08014,1203.8446,0.56616,0.04489,952.86591,0.69203,0.06113,754.27557,0.6102,0.10824,596.71857,0.39226,0.09316,471.96338,0.51137,0.06694,373.20856,0.98429,0.10379,295.47278,0.68127,0.08221,233.87738,0.44186,0.06655,185.05922,0.70272,0.11068,146.35823,1.16387,0.07309,115.77804,0.76066,0.11655,91.6721,0.80609,0.12318,72.51701,1.10467,0.13818,57.36816,0.77346,0.15896,45.3629,0.55824,0.12866,35.93134,0.82034,0.12566,28.40909,0.88829,0.11058,22.48202,0.86951,0.13372,17.79613,0.97164,0.10432,14.06813,0.65739,0.15329,11.1448,1.42023,0.25233,8.81772,1.00633,0.2731,6.97545,1.13936,0.12263,5.5173,1.42709,0.12729,4.36941,1.08896,0.08571,3.45686,1.11514,0.16995,2.73547,0.69857,0.24372,2.16054,1.0024,0.15365,1.70952,1.10241,0.13261,1.35352,1.11858,0.01639,1.07079,1.20269,0.05347,0.84734,1.28794,-0.07146,0.67072,0.94523,0.12292,0.53067,1.64208,0.02117,0.41976,0.71707,0.32578,0.33183,0.9724,0.03406,0.26261,1.47597,0.12985,0.20791,1.2797,0.22162,0.16452,1.08578,0.15592,0.13007,0.89479,0.31331,0.10309,1.04609,0.39994,0.08153,1.57273,0.22593,0.06443,1.08666,-0.4835,0.05102,1.42869,0.40466,0.04042,1.03753,0.03317,0.03192,1.32537,0.69343,0.02528,0.36486,-0.07269,0.01999,1.78501,0.39516,35,77
3,6033991,15829.126,0.57855,-0.01337,12516.703,0.54382,0.01316,9909.4424,0.42917,0.02742,7835.48,0.3708,0.04569,6217.2461,0.40737,0.03102,4905.291,0.53207,0.03686,3881.2737,0.56776,0.04475,3070.9827,0.49679,0.03198,2430.7778,0.40151,0.05124,1923.1537,0.68376,0.06137,1522.4358,0.7577,0.05487,1203.8446,0.59524,0.06499,952.86591,0.65555,0.08744,754.27557,0.6102,0.09163,596.71857,0.71898,0.08164,471.96338,0.63409,0.08588,373.20856,0.70022,0.09024,295.47278,0.66011,0.06259,233.87738,0.86682,0.11256,185.05922,0.75597,0.1232,146.35823,0.67274,0.08413,115.77804,0.71945,0.07661,91.6721,0.82317,0.13216,72.51701,0.99318,0.09089,57.36816,0.89332,0.14466,45.3629,0.55824,0.18559,35.93134,0.78308,0.14146,28.40909,0.93751,0.16433,22.48202,1.2001,0.17388,17.79613,0.89913,0.17875,14.06813,0.98735,0.22854,11.1448,1.19582,0.12764,8.81772,0.85607,0.17347,6.97545,0.72917,0.18109,5.5173,0.92022,0.12195,4.36941,1.26909,0.0942,3.45686,0.92332,0.14063,2.73547,1.09542,0.09877,2.16054,1.38694,0.02407,1.70952,1.18995,0.06333,1.35352,1.036,0.06447,1.07079,1.43548,0.17297,0.84734,1.16062,0.04728,0.67072,1.39868,-0.06862,0.53067,1.62181,0.03002,0.41976,0.7994,0.06207,0.33183,0.99411,-0.0428,0.26261,1.00122,0.02962,0.20791,1.47992,-0.0485,0.16452,1.32499,0.02209,0.13007,1.7656,0.26534,0.10309,1.88194,0.22193,0.08153,1.89343,0.50893,0.06443,1.40623,0.22385,0.05102,1.1595,0.82365,0.04042,1.48088,-0.28979,0.03192,2.39644,0.37751,0.02528,1.07681,0.52073,0.01999,0.3661,0.56542,25,83
3,6033991,15829.126,0.3436,0.00883,12516.703,0.27973,0.01301,9909.4424,0.54449,0.00373,7835.48,0.51823,0.0289,6217.2461,0.54957,0.04232,4905.291,0.60977,0.04066,3881.2737,0.61401,0.03063,3070.9827,0.54259,0.04225,2430.7778,0.59281,0.05979,1923.1537,0.52481,0.06425,1522.4358,0.73712,0.06547,1203.8446,0.7263,0.06281,952.86591,0.82096,0.08197,754.27557,0.74902,0.09177,596.71857,0.58961,0.08164,471.96338,0.84573,0.07874,373.20856,0.70118,0.08646,295.47278,0.45955,0.10532,233.87738,0.44186,0.1038,185.05922,0.66507,0.06985,146.35823,0.51519,0.13655,115.77804,0.50933,0.09297,91.6721,0.76871,0.07917,72.51701,0.51689,0.09807,57.36816,0.73862,0.13664,45.3629,0.62064,0.13715,35.93134,0.6939,0.16049,28.40909,0.71666,0.1436,22.48202,0.95842,0.19003,17.79613,0.94023,0.18296,14.06813,0.74633,0.18485,11.1448,1.1001,0.13941,8.81772,0.98094,0.18498,6.97545,1.25944,0.21124,5.5173,1.34107,0.26456,4.36941,0.99872,0.24259,3.45686,1.28297,0.18171,2.73547,1.27674,0.21805,2.16054,1.21173,0.16705,1.70952,0.99345,0.19654,1.35352,1.02744,0.04428,1.07079,0.75789,0.05848,0.84734,0.97561,0.00767,0.67072,1.20844,0.10344,0.53067,1.13482,-0.00741,0.41976,1.45117,0.12913,0.33183,1.38184,0.11351,0.26261,0.9728,0.21977,0.20791,1.28067,0.23167,0.16452,1.55471,0.12091,0.13007,1.71073,0.28355,0.10309,1.71613,0.11168,0.08153,1.18671,0.04798,0.06443,1.00073,-0.19966,0.05102,1.82871,0.38403,0.04042,1.44462,0.77957,0.03192,2.01821,0.47572,0.02528,2.25769,-0.53335,0.01999,2.24129,0.31914,35,87
3,6033991,15829.126,0.29962,0.02198,12516.703,0.6717,0.01584,9909.4424,0.58867,0.02446,7835.48,0.48746,0.04437,6217.2461,0.41073,0.02452,4905.291,0.40599,0.03914,3881.2737,0.49417,0.05973,3070.9827,0.53339,0.05255,2430.7778,0.37648,0.06521,1923.1537,0.56806,0.0593,1522.4358,0.37278,0.07001,1203.8446,0.57858,0.0638,952.86591,0.47681,0.09766,754.27557,0.61334,0.06805,596.71857,0.57911,0.0687,471.96338,0.61325,0.07936,373.20856,0.55275,0.11395,295.47278,1.02506,0.10354,233.87738,0.61899,0.08452,185.05922,0.63463,0.08559,146.35823,0.75999,0.12261,115.77804,0.59714,0.10142,91.6721,0.57096,0.15036,72.51701,0.88106,0.13541,57.36816,0.68955,0.14246,45.3629,0.55824,0.1584,35.93134,1.00189,0.13633,28.40909,0.79437,0.10207,22.48202,0.79758,0.16157,17.79613,0.7892,0.20881,14.06813,0.78412,0.14947,11.1448,1.00712,0.13925,8.81772,0.98371,0.16629,6.97545,0.97909,0.18495,5.5173,1.17982,0.09912,4.36941,1.08896,0.19851,3.45686,1.00435,0.09115,2.73547,0.74112,0.09725,2.16054,0.87762,0.11271,1.70952,0.95929,0.11654,1.35352,0.91543,0.22966,1.07079,1.00785,0.14279,0.84734,1.26163,0.00693,0.67072,1.05168,0.05987,0.53067,1.18334,0.11405,0.41976,1.20626,0.08176,0.33183,1.20421,0.18295,0.26261,1.53542,0.12393,0.20791,1.25499,0.23558,0.16452,0.68281,0.12975,0.13007,0.58705,0.17932,0.10309,1.2485,0.07569,0.08153,1.65065,0.01961,0.06443,1.19472,-0.30645,0.05102,1.3233,0.199,0.04042,1.74498,0.36991,0.03192,0.95568,-0.31298,0.02528,1.98802,0.63421,0.01999,0.92546,0.36989,25,77
3,6033991,15829.126,0.64335,0.01534,12516.703,0.56544,0.01684,9909.4424,0.72133,0.01647,7835.48,0.68404,0.03173,6217.2461,0.91977,0.03845,4905.291,0.30696,0.03939,3881.2737,0.3778,0.03565,3070.9827,0.75032,0.05286,2430.7778,0.72526,0.05445,1923.1537,0.47524,0.06468,1522.4358,0.6087,0.06547,1203.8446,0.6791,0.07938,952.86591,0.45948,0.08973,754.27557,0.44716,0.08042,596.71857,0.86092,0.09847,471.96338,0.78898,0.0775,373.20856,0.59461,0.07784,295.47278,0.80403,0.10345,233.87738,0.60424,0.12643,185.05922,0.6884,0.07672,146.35823,0.70618,0.12085,115.77804,0.69418,0.10137,91.6721,0.87075,0.11737,72.51701,0.72401,0.11856,57.36816,0.9179,0.14987,45.3629,0.67222,0.16114,35.93134,1.17793,0.16738,28.40909,0.87367,0.15002,22.48202,0.91031,0.18508,17.79613,0.71414,0.17935,14.06813,0.96041,0.11564,11.1448,0.91419,0.21665,8.81772,0.88704,0.03605,6.97545,0.97545,0.15131,5.5173,0.99555,0.09012,4.36941,1.06633,0.17977,3.45686,0.78379,0.24641,2.73547,1.18848,0.0793,2.16054,0.73371,0.19252,1.70952,1.58491,0.13832,1.35352,1.0099,0.09404,1.07079,1.45899,0.1829,0.84734,0.89851,0.09998,0.67072,1.36693,0.29559,0.53067,1.23258,0.14253,0.41976,1.2943,0.06813,0.33183,1.11952,0.0814,0.26261,1.13295,0.04596,0.20791,1.51889,0.06431,0.16452,1.70898,0.24258,0.13007,1.47253,0.22128,0.10309,1.19142,0.32952,0.08153,1.42103,0.08192,0.06443,1.5623,0.01663,0.05102,1.23111,0.4207,0.04042,1.2672,0.45648,0.03192,0.77976,0.35391,0.02528,0.84668,0.18994,0.01999,1.22492,-0.14862,45,78
3,6033991,15829.126,0.33532,0.01084,12516.703,0.44328,0.00677,9909.4424,0.6921,0.00983,7835.48,0.85849,0.04458,6217.2461,0.34138,0.02845,4905.291,0.63707,0.04297,3881.2737,0.54064,0.04925,3070.9827,0.60493,0.0638,2430.7778,0.50591,0.06228,1923.1537,0.71646,0.06137,1522.4358,0.58342,0.05177,1203.8446,0.76613,0.08874,952.86591,0.6156,0.08359,754.27557,0.53493,0.07752,596.71857,0.50003,0.07147,471.96338,0.60741,0.05671,373.20856,0.68077,0.1047,295.47278,0.7353,0.0851,233.87738,0.44186,0.08545,185.05922,0.70421,0.11954,146.35823,0.50173,0.11481,115.77804,0.75496,0.10178,91.6721,0.6707,0.09787,72.51701,0.61245,0.12785,57.36816,0.75124,0.14406,45.3629,0.86656,0.15198,35.93134,0.63328,0.16362,28.40909,0.60643,0.17318,22.48202,0.82026,0.13942,17.79613,0.89451,0.1876,14.06813,0.91354,0.19888,11.1448,1.08233,0.22444,8.81772,0.72056,0.18196,6.97545,1.05792,0.20467,5.5173,1.16636,0.17541,4.36941,0.92053,0.14606,3.45686,1.19184,0.20009,2.73547,1.545,0.1519,2.16054,1.13882,0.08568,1.70952,1.40158,0.16336,1.35352,0.9944,0.05005,1.07079,1.13707,0.05168,0.84734,1.2132,0.06376,0.67072,1.33523,0.1016,0.53067,1.413,0.08358,0.41976,1.45392,0.06523,0.33183,1.14044,-0.00227,0.26261,1.31398,0.07472,0.20791,1.2797,-0.14375,0.16452,1.1411,0.14604,0.13007,1.18135,0.26645,0.10309,1.34539,0.10648,0.08153,1.05595,0.43781,0.06443,1.69336,0.31019,0.05102,1.14284,0.13425,0.04042,1.63968,0.07494,0.03192,1.71516,0.41666,0.02528,1.70824,0.19146,0.01999,1.75645,0.46127,45,87
3,6033991,15829.126,0.27335,0.00727,12516.703,0.61393,-0.00293,9909.4424,0.29513,0.01596,7835.48,0.29206,0.03288,6217.2461,0.45399,0.04207,4905.291,0.73331,0.03598,3881.2737,0.48384,0.05555,3070.9827,0.65054,0.04746,2430.7778,0.65678,0.05403,1923.1537,0.5756,0.06059,1522.4358,0.51814,0.05295,1203.8446,0.59113,0.07478,952.86591,0.75867,0.09071,754.27557,0.70124,0.0737,596.71857,0.39226,0.08622,471.96338,0.46562,0.07017,373.20856,0.67575,0.08143,295.47278,0.58167,0.07315,233.87738,0.9941,0.0954,185.05922,0.75144,0.13809,146.35823,0.70354,0.11144,115.77804,0.9431,0.11889,91.6721,0.78588,0.0939,72.51701,0.59409,0.14492,57.36816,0.8003,0.14131,45.3629,0.85424,0.14072,35.93134,0.94679,0.1827,28.40909,1.13313,0.17524,22.48202,0.80227,0.14721,17.79613,0.86216,0.16799,14.06813,1.2811,0.15168,11.1448,0.78859,0.18441,8.81772,0.68721,0.16941,6.97545,0.98417,0.15802,5.5173,1.0969,0.06998,4.36941,1.25363,0.08408,3.45686,1.17243,0.21417,2.73547,1.30633,0.21481,2.16054,1.20473,0.04227,1.70952,1.22636,0.1602,1.35352,0.95636,0.08286,1.07079,0.75491,0.12188,0.84734,1.30097,0.09838,0.67072,1.16052,-0.0238,0.53067,0.98636,0.16876,0.41976,1.00397,-0.01345,0.33183,1.13419,0.15295,0.26261,1.36663,0.1311,0.20791,0.9264,0.11647,0.16452,0.91263,0.18133,0.13007,1.24338,0.40895,0.10309,1.35871,0.09305,0.08153,1.60384,0.37654,0.06443,1.38593,0.27258,0.05102,1.42869,0.30273,0.04042,1.53685,0.25832,0.03192,0.95394,0.07454,0.02528,1.82113,0.33297,0.01999,0.96868,1.0997,35,85
3,6033991,15829.126,0.4768,-0.00146,12516.703,0.51193,0.00455,9909.4424,0.28618,0.0268,7835.48,0.60597,0.04222,6217.2461,0.64983,0.03593,4905.291,0.56312,0.04655,3881.2737,0.68809,0.04382,3070.9827,0.46888,0.0506,2430.7778,0.49136,0.06973,1923.1537,0.34108,0.06127,1522.4358,0.60025,0.06442,1203.8446,0.68824,0.05894,952.86591,0.54583,0.08468,754.27557,0.58846,0.06915,596.71857,0.72859,0.05708,471.96338,0.93673,0.06178,373.20856,0.63974,0.09176,295.47278,0.83587,0.09029,233.87738,0.80116,0.10778,185.05922,0.94032,0.11565,146.35823,0.56527,0.11375,115.77804,0.86101,0.14199,91.6721,0.86131,0.12318,72.51701,1.08836,0.13267,57.36816,0.75834,0.09894,45.3629,0.57369,0.1591,35.93134,1.04273,0.14416,28.40909,0.63009,0.13837,22.48202,0.71785,0.12813,17.79613,0.7496,0.18285,14.06813,0.93104,0.30845,11.1448,1.14735,0.27781,8.81772,0.97707,0.18375,6.97545,1.1744,0.12198,5.5173,1.1838,0.16375,4.36941,1.09168,0.1713,3.45686,1.42958,0.24329,2.73547,1.03524,0.10624,2.16054,1.20305,0.09684,1.70952,0.8917,0.07845,1.35352,0.90394,0.16079,1.07079,1.31287,0.13005,0.84734,1.43686,0.10529,0.67072,1.53071,0.06799,0.53067,1.32088,0.09732,0.41976,1.24295,0.14273,0.33183,1.3444,0.20818,0.26261,1.43078,0.09705,0.20791,1.02159,0.0859,0.16452,1.08756,0.14502,0.13007,1.31577,0.18218,0.10309,1.24574,0.15558,0.08153,0.62438,0.34208,0.06443,0.96605,0.17756,0.05102,1.59805,0.1989,0.04042,1.20184,0.17413,0.03192,2.02427,-0.04354,0.02528,1.4496,0.68561,0.01999,0.96133,0.88535,25,83
