Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
7053270,15829.126,0.80138,0.01183,12516.703,0.77234,0.0079,9909.4424,0.25146,0.03165,7835.48,0.5539,-0.00308,6217.2461,0.55472,0.03601,4905.291,0.6205,0.00211,3881.2737,0.53037,0.04767,3070.9827,0.68776,0.02301,2430.7778,0.96623,0.06593,1923.1537,0.50827,0.07122,1522.4358,0.6625,0.08816,1203.8446,0.83864,0.10892,952.86591,0.53186,0.05459,754.27557,0.47911,0.09604,596.71857,0.35099,0.06174,471.96338,0.54381,0.12263,373.20856,0.52155,0.11895,295.47278,0.46123,0.1243,233.87738,0.8418,0.12582,185.05922,0.88515,0.13409,146.35823,0.94846,0.18033,115.77804,0.64663,0.12243,91.6721,0.50933,0.09232,72.51701,1.06921,0.16838,57.36816,0.80505,0.2222,45.3629,0.98203,0.14416,35.93134,1.25314,0.16518,28.40909,1.39341,0.18459,22.48202,0.52473,0.11989,17.79613,0.55899,0.27513,14.06813,0.97476,0.17423,11.1448,0.65134,0.18634,8.81772,1.11393,0.24028,6.97545,1.19189,0.14714,5.5173,0.83695,0.21163,4.36941,1.27508,0.21572,3.45686,1.30367,0.0593,2.73547,1.05783,0.04969,2.16054,1.08471,0.12609,1.70952,1.27015,0.19291,1.35352,1.33145,0.06981,1.07079,0.63658,0.1063,0.84734,1.38974,0.13669,0.67072,1.01079,0.10344,0.53067,1.35695,0.15013,0.41976,2.09161,0.18883,0.33183,1.00781,0.17367,0.26261,0.72318,0.10554,0.20791,0.70253,0.08213,0.16452,1.7104,-0.31894,0.13007,1.20544,-0.11808,0.10309,1.5528,0.75377,0.08153,1.61163,-0.39462,0.06443,1.46336,0.33124,0.05102,1.59621,-0.04524,0.04042,2.11663,-0.12639,0.03192,0.57001,0.08392,0.02528,2.94429,0.75915,0.01999,-0.67855,1.09654,45,69
7053270,15829.126,0.53125,0.02545,12516.703,0.60893,0.05395,9909.4424,0.59444,0.03232,7835.48,0.6578,0.05204,6217.2461,0.13167,0.04516,4905.291,0.47839,0.02131,3881.2737,0.32804,0.05503,3070.9827,0.58811,0.05255,2430.7778,0.80907,0.07743,1923.1537,0.51339,0.08912,1522.4358,0.37338,0.06365,1203.8446,0.66281,0.09063,952.86591,0.56083,0.09032,754.27557,0.61767,0.05656,596.71857,0.57968,0.10011,471.96338,0.77484,0.09405,373.20856,0.64603,0.08637,295.47278,0.33743,0.1006,233.87738,0.89808,0.12633,185.05922,1.19838,0.16244,146.35823,0.74364,0.11853,115.77804,0.68013,0.13409,91.6721,0.95514,0.11377,72.51701,0.56034,0.0415,57.36816,1.22194,0.14905,45.3629,0.90045,0.15875,35.93134,0.56992,0.14218,28.40909,1.47834,0.1512,22.48202,1.30387,0.16212,17.79613,0.95568,0.29739,14.06813,0.92252,0.17883,11.1448,1.01549,0.04241,8.81772,0.59303,0.14644,6.97545,1.29423,0.28774,5.5173,0.95948,0.22088,4.36941,1.21075,0.37035,3.45686,0.86748,0.07442,2.73547,1.02502,0.41585,2.16054,1.33546,0.18096,1.70952,1.06902,0.14852,1.35352,1.17914,0.42531,1.07079,1.36232,-0.05875,0.84734,1.06764,-0.07103,0.67072,1.59153,0.15099,0.53067,1.02947,-0.01192,0.41976,1.53312,0.12836,0.33183,0.69354,0.22414,0.26261,1.62126,0.11143,0.20791,1.30245,-0.19642,0.16452,1.23331,-0.11491,0.13007,1.78276,0.58023,0.10309,1.87858,0.4968,0.08153,1.36101,0.73381,0.06443,2.35748,1.06328,0.05102,1.26591,0.13868,0.04042,2.94935,-0.14783,0.03192,1.61193,-0.22945,0.02528,1.86292,0.93534,0.01999,2.16816,0.98755,25,94
7053270,15829.126,0.49649,-0.00438,12516.703,0.48913,0.00395,9909.4424,0.51372,0.02001,7835.48,0.53047,0.02809,6217.2461,0.51813,0.0453,4905.291,0.53025,0.045,3881.2737,0.55247,0.0499,3070.9827,0.54726,0.04279,2430.7778,0.55669,0.05708,1923.1537,0.55637,0.06254,1522.4358,0.59028,0.06782,1203.8446,0.58724,0.06864,952.86591,0.5892,0.07606,754.27557,0.59271,0.07229,596.71857,0.60557,0.07946,471.96338,0.61846,0.08485,373.20856,0.63013,0.09044,295.47278,0.66255,0.0948,233.87738,0.70335,0.09542,185.05922,0.69903,0.10901,146.35823,0.70602,0.1136,115.77804,0.73016,0.11737,91.6721,0.73291,0.11998,72.51701,0.77111,0.12796,57.36816,0.7696,0.13628,45.3629,0.76431,0.14734,35.93134,0.83056,0.1572,28.40909,0.85962,0.16417,22.48202,0.88609,0.17029,17.79613,0.89133,0.17492,14.06813,0.93461,0.18641,11.1448,0.96576,0.19653,8.81772,0.98961,0.1842,6.97545,1.02406,0.18537,5.5173,1.08008,0.17685,4.36941,1.06695,0.17602,3.45686,1.14675,0.14782,2.73547,1.14562,0.15459,2.16054,1.16232,0.12176,1.70952,1.15671,0.1347,1.35352,1.17621,0.11925,1.07079,1.1759,0.10164,0.84734,1.21264,0.11502,0.67072,1.23754,0.08879,0.53067,1.24866,0.11213,0.41976,1.23432,0.13696,0.33183,1.2945,0.08358,0.26261,1.25667,0.12544,0.20791,1.26619,0.15861,0.16452,1.31898,0.15336,0.13007,1.32577,0.19918,0.10309,1.31987,0.16628,0.08153,1.3772,0.18763,0.06443,1.44304,0.24114,0.05102,1.44627,0.31602,0.04042,1.54274,0.295,0.03192,1.58537,0.35807,0.02528,1.62594,0.47247,0.01999,1.57661,0.53604,25,78
7053270,15829.126,0.49702,-0.00333,12516.703,0.48853,0.00431,9909.4424,0.51586,0.02056,7835.48,0.52791,0.02699,6217.2461,0.52413,0.04289,4905.291,0.53575,0.04404,3881.2737,0.55486,0.04923,3070.9827,0.54645,0.04395,2430.7778,0.55573,0.05716,1923.1537,0.55551,0.06093,1522.4358,0.59279,0.06762,1203.8446,0.58473,0.07,952.86591,0.58691,0.07466,754.27557,0.59733,0.07342,596.71857,0.60301,0.07968,471.96338,0.62781,0.08488,373.20856,0.63139,0.0893,295.47278,0.66179,0.09499,233.87738,0.70417,0.09556,185.05922,0.69906,0.10731,146.35823,0.71036,0.11411,115.77804,0.72846,0.11728,91.6721,0.74468,0.12007,72.51701,0.76989,0.12796,57.36816,0.76963,0.13665,45.3629,0.76751,0.14795,35.93134,0.82448,0.15711,28.40909,0.87605,0.16454,22.48202,0.87594,0.17044,17.79613,0.89555,0.17824,14.06813,0.92784,0.1849,11.1448,0.96323,0.19412,8.81772,0.9881,0.18583,6.97545,1.02406,0.18417,5.5173,1.08347,0.17781,4.36941,1.06376,0.17623,3.45686,1.13987,0.15085,2.73547,1.15641,0.15076,2.16054,1.16007,0.12581,1.70952,1.14657,0.13057,1.35352,1.18341,0.12075,1.07079,1.18107,0.10415,0.84734,1.20615,0.10934,0.67072,1.22551,0.09303,0.53067,1.24694,0.10562,0.41976,1.26029,0.13641,0.33183,1.30365,0.08619,0.26261,1.26707,0.12752,0.20791,1.25899,0.16387,0.16452,1.30498,0.14847,0.13007,1.32772,0.20292,0.10309,1.32778,0.17169,0.08153,1.38028,0.20972,0.06443,1.45331,0.26025,0.05102,1.43359,0.30135,0.04042,1.5101,0.31152,0.03192,1.59859,0.38693,0.02528,1.65037,0.44595,0.01999,1.59971,0.51577,25,78
7053270,15829.126,0.49161,-0.00272,12516.703,0.4872,0.00505,9909.4424,0.51464,0.02081,7835.48,0.53088,0.02504,6217.2461,0.5265,0.04401,4905.291,0.53671,0.04624,3881.2737,0.54761,0.04897,3070.9827,0.53998,0.04102,2430.7778,0.55962,0.05807,1923.1537,0.54097,0.06158,1522.4358,0.5891,0.06802,1203.8446,0.58235,0.06918,952.86591,0.59082,0.07372,754.27557,0.58637,0.07186,596.71857,0.60341,0.08065,471.96338,0.62489,0.08384,373.20856,0.62944,0.08896,295.47278,0.65664,0.09634,233.87738,0.70834,0.09575,185.05922,0.70614,0.10608,146.35823,0.71797,0.11382,115.77804,0.7351,0.11643,91.6721,0.74617,0.12189,72.51701,0.76552,0.1276,57.36816,0.77154,0.13526,45.3629,0.7679,0.14779,35.93134,0.80647,0.15682,28.40909,0.87502,0.16339,22.48202,0.87089,0.16954,17.79613,0.91014,0.17721,14.06813,0.9261,0.18656,11.1448,0.94581,0.19482,8.81772,0.97937,0.18789,6.97545,1.03588,0.18199,5.5173,1.07445,0.17945,4.36941,1.06024,0.1785,3.45686,1.13167,0.14976,2.73547,1.15173,0.15482,2.16054,1.1625,0.12701,1.70952,1.155,0.12708,1.35352,1.17664,0.12358,1.07079,1.18724,0.10822,0.84734,1.18908,0.1076,0.67072,1.22954,0.09293,0.53067,1.25348,0.11593,0.41976,1.27126,0.13495,0.33183,1.2889,0.09138,0.26261,1.2511,0.13256,0.20791,1.25861,0.17785,0.16452,1.31284,0.14959,0.13007,1.33849,0.21968,0.10309,1.34668,0.15051,0.08153,1.38241,0.20516,0.06443,1.45904,0.26596,0.05102,1.43269,0.29279,0.04042,1.49388,0.29698,0.03192,1.56326,0.35414,0.02528,1.60411,0.47529,0.01999,1.60588,0.52767,25,78
7053270,15829.126,0.49105,-0.00237,12516.703,0.49017,0.00492,9909.4424,0.51378,0.02144,7835.48,0.52791,0.02464,6217.2461,0.53143,0.04189,4905.291,0.53846,0.04532,3881.2737,0.55145,0.04756,3070.9827,0.54057,0.04293,2430.7778,0.55656,0.05831,1923.1537,0.54322,0.06065,1522.4358,0.59053,0.06719,1203.8446,0.58484,0.06944,952.86591,0.59199,0.07339,754.27557,0.59556,0.07202,596.71857,0.604,0.08082,471.96338,0.62262,0.08422,373.20856,0.63088,0.08898,295.47278,0.65755,0.09576,233.87738,0.71117,0.09606,185.05922,0.70473,0.10544,146.35823,0.72057,0.11333,115.77804,0.73661,0.11753,91.6721,0.7463,0.12119,72.51701,0.76172,0.12874,57.36816,0.76874,0.13611,45.3629,0.77092,0.14709,35.93134,0.8066,0.15632,28.40909,0.87835,0.16424,22.48202,0.8734,0.1707,17.79613,0.91135,0.17746,14.06813,0.92463,0.18604,11.1448,0.96305,0.1939,8.81772,0.98328,0.18996,6.97545,1.028,0.18147,5.5173,1.07938,0.17994,4.36941,1.0605,0.17797,3.45686,1.12821,0.15056,2.73547,1.15946,0.15318,2.16054,1.16366,0.12885,1.70952,1.15862,0.1263,1.35352,1.1775,0.12386,1.07079,1.18921,0.10776,0.84734,1.18317,0.10482,0.67072,1.21039,0.09544,0.53067,1.24924,0.11469,0.41976,1.28538,0.13164,0.33183,1.29449,0.08927,0.26261,1.25999,0.13046,0.20791,1.27573,0.17695,0.16452,1.30132,0.15231,0.13007,1.31333,0.22325,0.10309,1.35449,0.16449,0.08153,1.38526,0.21745,0.06443,1.45934,0.26238,0.05102,1.42326,0.28588,0.04042,1.50009,0.31485,0.03192,1.55192,0.37578,0.02528,1.59557,0.4614,0.01999,1.59492,0.51723,25,78
7053270,15829.126,0.49214,-0.00238,12516.703,0.49262,0.00485,9909.4424,0.51627,0.02119,7835.48,0.52656,0.02453,6217.2461,0.53291,0.04121,4905.291,0.53914,0.04519,3881.2737,0.54718,0.04577,3070.9827,0.54019,0.0438,2430.7778,0.55767,0.05824,1923.1537,0.54368,0.05972,1522.4358,0.59261,0.06661,1203.8446,0.57949,0.06983,952.86591,0.59414,0.07299,754.27557,0.59319,0.0726,596.71857,0.6115,0.0808,471.96338,0.62445,0.08412,373.20856,0.63114,0.08851,295.47278,0.65759,0.09592,233.87738,0.71104,0.09671,185.05922,0.70403,0.10479,146.35823,0.72284,0.11277,115.77804,0.73282,0.11765,91.6721,0.74434,0.12164,72.51701,0.76103,0.12812,57.36816,0.76529,0.13539,45.3629,0.77559,0.1475,35.93134,0.80666,0.15669,28.40909,0.87436,0.16437,22.48202,0.8675,0.17083,17.79613,0.91049,0.17789,14.06813,0.92604,0.18597,11.1448,0.96687,0.19282,8.81772,0.98413,0.1902,6.97545,1.02666,0.18108,5.5173,1.08448,0.17898,4.36941,1.0605,0.17743,3.45686,1.11933,0.15058,2.73547,1.1628,0.15224,2.16054,1.15777,0.12736,1.70952,1.16177,0.12458,1.35352,1.18162,0.1251,1.07079,1.18829,0.10926,0.84734,1.18374,0.10569,0.67072,1.21098,0.09361,0.53067,1.24832,0.1138,0.41976,1.29369,0.13047,0.33183,1.28762,0.09032,0.26261,1.26999,0.13141,0.20791,1.27542,0.17779,0.16452,1.29941,0.1559,0.13007,1.30867,0.21832,0.10309,1.35934,0.16335,0.08153,1.38967,0.22601,0.06443,1.46517,0.26736,0.05102,1.411,0.28316,0.04042,1.48514,0.31439,0.03192,1.53738,0.38283,0.02528,1.59061,0.45717,0.01999,1.58879,0.50998,25,78
7053270,15829.126,0.49286,-0.00227,12516.703,0.49102,0.00609,9909.4424,0.51446,0.02162,7835.48,0.52569,0.02433,6217.2461,0.53128,0.04042,4905.291,0.54033,0.04524,3881.2737,0.54662,0.04498,3070.9827,0.53922,0.04498,2430.7778,0.55847,0.0584,1923.1537,0.54527,0.05905,1522.4358,0.5896,0.06616,1203.8446,0.57708,0.06927,952.86591,0.59699,0.07251,754.27557,0.59733,0.07296,596.71857,0.6118,0.08073,471.96338,0.62545,0.08399,373.20856,0.63303,0.08881,295.47278,0.65478,0.09548,233.87738,0.70659,0.09663,185.05922,0.70588,0.10388,146.35823,0.722,0.11299,115.77804,0.73511,0.11798,91.6721,0.74134,0.12182,72.51701,0.75606,0.12863,57.36816,0.76361,0.13551,45.3629,0.77693,0.14723,35.93134,0.80569,0.15714,28.40909,0.87117,0.16468,22.48202,0.8728,0.17047,17.79613,0.91169,0.17825,14.06813,0.92392,0.18561,11.1448,0.96736,0.19166,8.81772,0.98429,0.18962,6.97545,1.02502,0.17941,5.5173,1.09034,0.17929,4.36941,1.05789,0.17668,3.45686,1.11396,0.15029,2.73547,1.16225,0.15168,2.16054,1.15569,0.12993,1.70952,1.16142,0.12492,1.35352,1.17935,0.12215,1.07079,1.19276,0.10725,0.84734,1.18513,0.10575,0.67072,1.20447,0.09332,0.53067,1.25166,0.11431,0.41976,1.29523,0.13046,0.33183,1.28155,0.08884,0.26261,1.27046,0.13026,0.20791,1.28476,0.17669,0.16452,1.2932,0.15367,0.13007,1.30352,0.21384,0.10309,1.3652,0.17254,0.08153,1.40646,0.23055,0.06443,1.47299,0.26831,0.05102,1.39996,0.27881,0.04042,1.47755,0.31498,0.03192,1.53336,0.38332,0.02528,1.59435,0.46218,0.01999,1.57576,0.51367,25,78
7053270,15829.126,0.49276,-0.00237,12516.703,0.49149,0.00533,9909.4424,0.51619,0.02179,7835.48,0.52451,0.02424,6217.2461,0.53305,0.04029,4905.291,0.5419,0.04425,3881.2737,0.54724,0.04528,3070.9827,0.54105,0.04548,2430.7778,0.56101,0.05813,1923.1537,0.54574,0.05889,1522.4358,0.58957,0.06519,1203.8446,0.57966,0.06951,952.86591,0.59755,0.072,754.27557,0.6014,0.07357,596.71857,0.61281,0.08092,471.96338,0.62862,0.08448,373.20856,0.63351,0.08864,295.47278,0.65415,0.09526,233.87738,0.70509,0.09774,185.05922,0.70641,0.1033,146.35823,0.72095,0.11292,115.77804,0.73733,0.11787,91.6721,0.7444,0.12128,72.51701,0.75628,0.1285,57.36816,0.7579,0.13612,45.3629,0.77783,0.14711,35.93134,0.80588,0.15698,28.40909,0.87422,0.16473,22.48202,0.87229,0.17064,17.79613,0.91557,0.17831,14.06813,0.92262,0.18574,11.1448,0.97085,0.19141,8.81772,0.98231,0.18989,6.97545,1.02444,0.18036,5.5173,1.09044,0.17947,4.36941,1.06138,0.17571,3.45686,1.10979,0.15052,2.73547,1.15816,0.15016,2.16054,1.15308,0.12987,1.70952,1.16655,0.12442,1.35352,1.17885,0.12286,1.07079,1.19362,0.10759,0.84734,1.18427,0.10715,0.67072,1.19998,0.09564,0.53067,1.25131,0.11344,0.41976,1.30089,0.12847,0.33183,1.27546,0.08771,0.26261,1.27454,0.1299,0.20791,1.2859,0.17725,0.16452,1.297,0.15308,0.13007,1.29748,0.21503,0.10309,1.35736,0.1716,0.08153,1.38661,0.23726,0.06443,1.46987,0.27649,0.05102,1.38718,0.27408,0.04042,1.48367,0.32097,0.03192,1.52351,0.38356,0.02528,1.59991,0.45452,0.01999,1.57528,0.50862,25,78
7053270,15829.126,0.492,-0.00247,12516.703,0.4929,0.00584,9909.4424,0.51637,0.02167,7835.48,0.52195,0.02401,6217.2461,0.53296,0.03951,4905.291,0.54301,0.04417,3881.2737,0.54436,0.04441,3070.9827,0.54034,0.04608,2430.7778,0.56071,0.05834,1923.1537,0.54554,0.05784,1522.4358,0.58838,0.06473,1203.8446,0.57159,0.06941,952.86591,0.6012,0.07191,754.27557,0.60049,0.07368,596.71857,0.6154,0.08109,471.96338,0.62967,0.08472,373.20856,0.6335,0.08862,295.47278,0.65089,0.09484,233.87738,0.7082,0.09749,185.05922,0.70584,0.10274,146.35823,0.72489,0.11245,115.77804,0.7355,0.11808,91.6721,0.74114,0.12139,72.51701,0.75617,0.12862,57.36816,0.76061,0.13592,45.3629,0.7809,0.14706,35.93134,0.80382,0.15733,28.40909,0.87263,0.16523,22.48202,0.8721,0.17033,17.79613,0.91617,0.17788,14.06813,0.92265,0.18568,11.1448,0.97335,0.19123,8.81772,0.98375,0.19058,6.97545,1.02296,0.17939,5.5173,1.09102,0.17945,4.36941,1.05982,0.17584,3.45686,1.1083,0.14937,2.73547,1.16128,0.14884,2.16054,1.15469,0.12991,1.70952,1.16589,0.12266,1.35352,1.17984,0.12192,1.07079,1.19871,0.10878,0.84734,1.18135,0.10717,0.67072,1.19907,0.0947,0.53067,1.25088,0.11352,0.41976,1.30662,0.12773,0.33183,1.27604,0.08879,0.26261,1.27774,0.13028,0.20791,1.28574,0.17445,0.16452,1.29712,0.15157,0.13007,1.2985,0.21438,0.10309,1.36017,0.17362,0.08153,1.37405,0.24059,0.06443,1.47419,0.27574,0.05102,1.37969,0.26148,0.04042,1.47206,0.31983,0.03192,1.52199,0.38897,0.02528,1.59079,0.44837,0.01999,1.57386,0.51367,25,78
