Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,Temperature,SOH
01,15829.126,0.46292,-0.00261,12516.703,0.42971,0.00796,9909.4424,0.44434,0.01732,7835.48,0.43315,0.03225,6217.2461,0.48706,0.03377,4905.291,0.49592,0.03638,3881.2737,0.53463,0.05235,3070.9827,0.53193,0.05155,2430.7778,0.5388,0.06679,1923.1537,0.52492,0.05836,1522.4358,0.52879,0.07994,1203.8446,0.57554,0.07037,952.86591,0.55074,0.06305,754.27557,0.56525,0.08109,596.71857,0.60882,0.09306,471.96338,0.55849,0.0941,373.20856,0.65629,0.08051,295.47278,0.62849,0.08803,233.87738,0.66265,0.09776,185.05922,0.64563,0.09847,146.35823,0.72651,0.12669,115.77804,0.65628,0.12097,91.6721,0.71819,0.12751,72.51701,0.76431,0.1479,57.36816,0.78058,0.16401,45.3629,0.74443,0.16861,35.93134,0.74985,0.16824,28.40909,0.77555,0.18983,22.48202,0.8221,0.18705,17.79613,0.89351,0.2625,14.06813,0.87329,0.26831,11.1448,1.00509,0.25983,8.81772,0.97807,0.27747,6.97545,1.01728,0.33592,5.5173,1.17591,0.26694,4.36941,1.0855,0.36729,3.45686,1.27732,0.33224,2.73547,1.39228,0.28994,2.16054,1.39318,0.27847,1.70952,1.48188,0.25263,1.35352,1.49594,0.24404,1.07079,1.48923,0.28176,0.84734,1.61332,0.17364,0.67072,1.57696,0.18368,0.53067,1.54682,0.15092,0.41976,1.59772,0.18077,0.33183,1.47472,0.15447,0.26261,1.56134,0.12512,0.20791,1.65885,0.12453,0.16452,1.54229,0.15185,0.13007,1.70948,0.17909,0.10309,1.65016,0.21132,0.08153,1.77771,0.21681,0.06443,1.7577,0.27391,0.05102,1.85532,0.31313,0.04042,1.74316,0.39465,0.03192,1.8577,0.43188,0.02528,1.75694,0.52619,0.01999,2.0608,0.54146,22,70
01,15829.126,0.43455,0.00311,12516.703,0.50197,0.0144,9909.4424,0.48395,0.02654,7835.48,0.48155,0.03244,6217.2461,0.50984,0.04521,4905.291,0.52993,0.0433,3881.2737,0.54713,0.04944,3070.9827,0.50475,0.05975,2430.7778,0.57352,0.06652,1923.1537,0.55029,0.07577,1522.4358,0.57037,0.0659,1203.8446,0.60571,0.09133,952.86591,0.58484,0.10353,754.27557,0.60443,0.08942,596.71857,0.6742,0.10122,471.96338,0.6477,0.10478,373.20856,0.60107,0.11421,295.47278,0.63657,0.10806,233.87738,0.69473,0.11619,185.05922,0.77362,0.14803,146.35823,0.7202,0.11496,115.77804,0.70016,0.12931,91.6721,0.7862,0.11539,72.51701,0.81259,0.14267,57.36816,0.78011,0.14833,45.3629,0.86586,0.16827,35.93134,0.82255,0.17599,28.40909,0.82552,0.2202,22.48202,0.86299,0.24874,17.79613,0.94947,0.22712,14.06813,0.97317,0.28505,11.1448,0.98615,0.29319,8.81772,0.98345,0.36362,6.97545,1.12174,0.28936,5.5173,1.14771,0.29366,4.36941,1.23136,0.26563,3.45686,1.22681,0.32931,2.73547,1.36036,0.31115,2.16054,1.37416,0.24921,1.70952,1.2564,0.19324,1.35352,1.38865,0.10318,1.07079,1.49814,0.08015,0.84734,1.61347,0.11544,0.67072,1.62193,0.14499,0.53067,1.60715,0.21414,0.41976,1.43615,0.23484,0.33183,1.36098,0.18215,0.26261,1.21502,0.10085,0.20791,1.34612,-0.0199,0.16452,1.49219,-0.07487,0.13007,1.49582,-0.06708,0.10309,1.7131,0.03141,0.08153,1.56728,0.2145,0.06443,1.6365,0.25951,0.05102,1.57464,0.50172,0.04042,1.29711,0.47463,0.03192,1.12037,0.43079,0.02528,1.09796,0.16304,0.01999,1.18177,-0.21718,25,73
01,15829.126,0.42027,-0.00753,12516.703,0.43693,0.00673,9909.4424,0.44566,0.01856,7835.48,0.47045,0.02206,6217.2461,0.44091,0.03115,4905.291,0.48717,0.04959,3881.2737,0.47166,0.04619,3070.9827,0.51858,0.0463,2430.7778,0.50602,0.07357,1923.1537,0.5837,0.05385,1522.4358,0.55369,0.07738,1203.8446,0.55343,0.08779,952.86591,0.55428,0.09056,754.27557,0.54194,0.07216,596.71857,0.58326,0.11549,471.96338,0.59313,0.1114,373.20856,0.61405,0.10189,295.47278,0.59636,0.12853,233.87738,0.63281,0.12847,185.05922,0.65653,0.12283,146.35823,0.71493,0.12848,115.77804,0.71283,0.14582,91.6721,0.71985,0.12988,72.51701,0.74413,0.12329,57.36816,0.8245,0.12172,45.3629,0.73898,0.15818,35.93134,0.78991,0.16758,28.40909,0.91037,0.15761,22.48202,0.92817,0.16586,17.79613,0.87988,0.19505,14.06813,0.97503,0.18168,11.1448,1.01175,0.1498,8.81772,1.00764,0.14217,6.97545,1.0313,0.13186,5.5173,1.14139,0.1192,4.36941,1.14536,0.13389,3.45686,1.09178,0.10445,2.73547,1.05551,0.08034,2.16054,1.08808,0.07146,1.70952,1.15741,0.06899,1.35352,0.96914,0.06513,1.07079,1.08686,0.06225,0.84734,1.14761,0.07462,0.67072,1.1613,0.06166,0.53067,1.16585,0.06669,0.41976,1.24127,0.07149,0.33183,1.2302,0.05631,0.26261,1.1138,0.06279,0.20791,1.21206,0.07211,0.16452,1.26433,0.09055,0.13007,1.32479,0.14748,0.10309,1.2529,0.15864,0.08153,1.19493,0.19732,0.06443,1.0608,0.19461,0.05102,1.16402,0.17997,0.04042,1.16283,0.22393,0.03192,1.2635,0.26946,0.02528,1.30763,0.31638,0.01999,1.44171,0.3393,20,70
01,15829.126,0.47625,-0.00306,12516.703,0.5074,0.00962,9909.4424,0.46885,0.02091,7835.48,0.46941,0.02813,6217.2461,0.49252,0.03714,4905.291,0.50268,0.04145,3881.2737,0.52815,0.0535,3070.9827,0.53622,0.05503,2430.7778,0.51821,0.06537,1923.1537,0.55412,0.06598,1522.4358,0.55946,0.06492,1203.8446,0.53698,0.06956,952.86591,0.51959,0.08353,754.27557,0.61576,0.07969,596.71857,0.65304,0.08369,471.96338,0.60601,0.08516,373.20856,0.62249,0.10017,295.47278,0.64251,0.1216,233.87738,0.59776,0.11643,185.05922,0.66498,0.08505,146.35823,0.62072,0.11408,115.77804,0.71032,0.12471,91.6721,0.61928,0.10741,72.51701,0.74743,0.13176,57.36816,0.79742,0.10996,45.3629,0.68365,0.17768,35.93134,0.77305,0.19823,28.40909,0.80939,0.19493,22.48202,0.85764,0.20955,17.79613,0.93706,0.24275,14.06813,0.84449,0.24412,11.1448,0.93317,0.27861,8.81772,1.05741,0.23435,6.97545,1.04535,0.325,5.5173,1.15789,0.31648,4.36941,1.20351,0.33277,3.45686,1.31193,0.32052,2.73547,1.29792,0.27925,2.16054,1.44935,0.28785,1.70952,1.32922,0.23599,1.35352,1.43131,0.22769,1.07079,1.43819,0.19176,0.84734,1.46474,0.18716,0.67072,1.42261,0.14918,0.53067,1.5708,0.17191,0.41976,1.55315,0.13924,0.33183,1.43802,0.15076,0.26261,1.43293,0.12612,0.20791,1.53694,0.13149,0.16452,1.61671,0.14063,0.13007,1.54,0.1744,0.10309,1.53709,0.23351,0.08153,1.67719,0.21266,0.06443,1.78656,0.24366,0.05102,1.69574,0.26976,0.04042,1.72599,0.33172,0.03192,1.58328,0.3785,0.02528,1.70369,0.4745,0.01999,1.84163,0.55863,21,70
01,15829.126,0.48685,0.00232,12516.703,0.53354,0.0171,9909.4424,0.51884,0.02345,7835.48,0.51116,0.03784,6217.2461,0.53692,0.0417,4905.291,0.52227,0.05327,3881.2737,0.49412,0.05867,3070.9827,0.53531,0.05237,2430.7778,0.57492,0.07049,1923.1537,0.56023,0.06205,1522.4358,0.61709,0.07092,1203.8446,0.59653,0.08997,952.86591,0.62099,0.08266,754.27557,0.59264,0.08063,596.71857,0.6292,0.09305,471.96338,0.62805,0.09562,373.20856,0.72507,0.09044,295.47278,0.68744,0.09597,233.87738,0.76143,0.12548,185.05922,0.69564,0.14534,146.35823,0.75352,0.12361,115.77804,0.73102,0.14744,91.6721,0.81305,0.14244,72.51701,0.7823,0.14933,57.36816,0.8117,0.1663,45.3629,0.86177,0.15786,35.93134,0.80518,0.19321,28.40909,0.87182,0.21387,22.48202,0.93661,0.21689,17.79613,0.96634,0.21972,14.06813,0.91666,0.26039,11.1448,1.01084,0.32187,8.81772,1.10301,0.29065,6.97545,1.07654,0.2945,5.5173,1.19668,0.29296,4.36941,1.11808,0.2826,3.45686,1.39589,0.19839,2.73547,1.36013,0.2755,2.16054,1.26691,0.18244,1.70952,1.30386,0.21095,1.35352,1.3565,0.18437,1.07079,1.43634,0.15648,0.84734,1.36351,0.11739,0.67072,1.50474,0.11723,0.53067,1.48831,0.09806,0.41976,1.50394,0.11055,0.33183,1.48161,0.08397,0.26261,1.50191,0.11412,0.20791,1.52782,0.09815,0.16452,1.54364,0.10628,0.13007,1.60202,0.13299,0.10309,1.58003,0.12379,0.08153,1.60497,0.18281,0.06443,1.58796,0.2012,0.05102,1.52705,0.20633,0.04042,1.6063,0.27684,0.03192,1.58504,0.32321,0.02528,1.64385,0.34224,0.01999,1.76072,0.45839,27,76
01,15829.126,0.49118,0.00697,12516.703,0.54626,0.01455,9909.4424,0.50214,0.02479,7835.48,0.48998,0.02961,6217.2461,0.4944,0.0394,4905.291,0.57293,0.04717,3881.2737,0.53913,0.04536,3070.9827,0.54921,0.05342,2430.7778,0.60709,0.07264,1923.1537,0.59549,0.06693,1522.4358,0.55882,0.06018,1203.8446,0.59919,0.07912,952.86591,0.64293,0.08563,754.27557,0.66717,0.0779,596.71857,0.64189,0.08731,471.96338,0.62005,0.10217,373.20856,0.67949,0.09431,295.47278,0.66061,0.11004,233.87738,0.6676,0.11012,185.05922,0.71041,0.11613,146.35823,0.76006,0.14545,115.77804,0.70949,0.1331,91.6721,0.77614,0.16614,72.51701,0.74447,0.12987,57.36816,0.82192,0.15839,45.3629,0.79414,0.16047,35.93134,0.82429,0.18018,28.40909,0.84449,0.18286,22.48202,0.90122,0.21619,17.79613,0.94549,0.24042,14.06813,0.95654,0.2665,11.1448,0.98349,0.29331,8.81772,1.05142,0.35252,6.97545,1.05133,0.36005,5.5173,1.23502,0.38413,4.36941,1.23637,0.39001,3.45686,1.40472,0.42605,2.73547,1.37476,0.43564,2.16054,1.36087,0.44002,1.70952,1.58671,0.31732,1.35352,1.69095,0.32007,1.07079,1.73219,0.32301,0.84734,1.54308,0.25759,0.67072,1.68479,0.25237,0.53067,1.87267,0.25724,0.41976,1.82301,0.20954,0.33183,1.73611,0.16927,0.26261,1.86065,0.16,0.20791,1.69806,0.17942,0.16452,1.86677,0.15827,0.13007,1.89364,0.18892,0.10309,2.02065,0.19615,0.08153,2.07473,0.22669,0.06443,1.93651,0.18285,0.05102,2.21445,0.26814,0.04042,1.92763,0.41133,0.03192,2.01864,0.37079,0.02528,1.91223,0.43312,0.01999,1.94957,0.55806,27,70
01,15829.126,0.42844,-0.00616,12516.703,0.43819,0.00717,9909.4424,0.51288,0.01733,7835.48,0.46632,0.0268,6217.2461,0.4578,0.04059,4905.291,0.51438,0.03928,3881.2737,0.49943,0.04865,3070.9827,0.57205,0.05457,2430.7778,0.58109,0.0664,1923.1537,0.49988,0.06988,1522.4358,0.50544,0.06586,1203.8446,0.5558,0.0886,952.86591,0.56849,0.08812,754.27557,0.61207,0.08029,596.71857,0.61236,0.10056,471.96338,0.59508,0.1093,373.20856,0.66796,0.08995,295.47278,0.63901,0.10227,233.87738,0.64733,0.12092,185.05922,0.661,0.1172,146.35823,0.66394,0.09277,115.77804,0.76631,0.11655,91.6721,0.71253,0.12323,72.51701,0.72595,0.16774,57.36816,0.74648,0.13501,45.3629,0.74491,0.16583,35.93134,0.73032,0.17351,28.40909,0.86494,0.20089,22.48202,0.85003,0.22141,17.79613,0.86414,0.23325,14.06813,0.84029,0.28676,11.1448,0.99311,0.25467,8.81772,1.05971,0.30691,6.97545,1.13421,0.31753,5.5173,1.03307,0.22406,4.36941,1.28465,0.22345,3.45686,1.21285,0.29022,2.73547,1.13089,0.28284,2.16054,1.14684,0.13524,1.70952,1.23576,0.07946,1.35352,1.33315,-0.02405,1.07079,1.48554,-0.05868,0.84734,1.6009,0.04856,0.67072,1.80557,0.202,0.53067,1.59431,0.47284,0.41976,1.40208,0.57864,0.33183,0.94712,0.52227,0.26261,0.89253,0.16007,0.20791,1.0105,-0.31901,0.16452,1.3113,-0.6558,0.13007,2.13973,-0.72005,0.10309,2.7923,-0.18276,0.08153,3.2559,0.55519,0.06443,3.24701,1.59241,0.05102,2.33063,2.10649,0.04042,1.55813,2.60951,0.03192,0.89254,1.9442,0.02528,0.73285,0.72877,0.01999,1.63405,-0.765,22,70
01,15829.126,0.43675,0.00369,12516.703,0.47539,0.01417,9909.4424,0.487,0.02306,7835.48,0.4893,0.03263,6217.2461,0.49003,0.03961,4905.291,0.56056,0.0479,3881.2737,0.52511,0.0489,3070.9827,0.51785,0.05542,2430.7778,0.60439,0.06309,1923.1537,0.53986,0.05879,1522.4358,0.62975,0.08435,1203.8446,0.52928,0.07184,952.86591,0.61104,0.08749,754.27557,0.60105,0.10151,596.71857,0.60486,0.07695,471.96338,0.63562,0.0981,373.20856,0.66277,0.10436,295.47278,0.61004,0.1187,233.87738,0.72736,0.14606,185.05922,0.68217,0.11149,146.35823,0.70724,0.11188,115.77804,0.78269,0.1461,91.6721,0.80336,0.13825,72.51701,0.80893,0.14663,57.36816,0.77671,0.14291,45.3629,0.86615,0.18096,35.93134,0.81728,0.16982,28.40909,0.85225,0.16169,22.48202,0.90006,0.25439,17.79613,0.96421,0.24721,14.06813,0.9443,0.2517,11.1448,0.98848,0.2793,8.81772,1.01243,0.34798,6.97545,1.0688,0.38976,5.5173,1.25312,0.36131,4.36941,1.21633,0.38021,3.45686,1.28373,0.30662,2.73547,1.31391,0.37748,2.16054,1.51618,0.31613,1.70952,1.53299,0.30922,1.35352,1.57327,0.26822,1.07079,1.53546,0.23101,0.84734,1.54328,0.18395,0.67072,1.75326,0.17357,0.53067,1.55734,0.13666,0.41976,1.60003,0.12756,0.33183,1.65446,0.11602,0.26261,1.59976,0.11291,0.20791,1.57245,0.13712,0.16452,1.83073,0.14636,0.13007,1.86927,0.14312,0.10309,1.75143,0.1849,0.08153,1.81378,0.19535,0.06443,1.78414,0.28251,0.05102,1.89886,0.24391,0.04042,1.80752,0.2739,0.03192,1.97338,0.36394,0.02528,2.05445,0.39614,0.01999,2.09438,0.48595,26,70
01,15829.126,0.46638,-0.00048,12516.703,0.43655,0.01165,9909.4424,0.47762,0.01999,7835.48,0.47917,0.03312,6217.2461,0.47222,0.03507,4905.291,0.52667,0.05263,3881.2737,0.51314,0.0503,3070.9827,0.4723,0.05054,2430.7778,0.51741,0.06177,1923.1537,0.52741,0.07183,1522.4358,0.54756,0.0805,1203.8446,0.53309,0.08083,952.86591,0.61296,0.07791,754.27557,0.58899,0.09631,596.71857,0.56804,0.09305,471.96338,0.62006,0.10091,373.20856,0.64122,0.10254,295.47278,0.60053,0.10442,233.87738,0.67467,0.15689,185.05922,0.69102,0.1311,146.35823,0.64534,0.12757,115.77804,0.72929,0.12824,91.6721,0.74698,0.15577,72.51701,0.78844,0.16445,57.36816,0.79111,0.16776,45.3629,0.75195,0.17565,35.93134,0.89018,0.19971,28.40909,0.86095,0.1849,22.48202,0.92154,0.22138,17.79613,0.96322,0.2481,14.06813,0.97964,0.22175,11.1448,1.027,0.2245,8.81772,1.03006,0.24163,6.97545,1.14646,0.27768,5.5173,1.27137,0.22199,4.36941,1.23605,0.2732,3.45686,1.22701,0.2023,2.73547,1.29649,0.17356,2.16054,1.27284,0.18581,1.70952,1.43907,0.16867,1.35352,1.36599,0.15018,1.07079,1.29045,0.14105,0.84734,1.44237,0.08378,0.67072,1.38591,0.08154,0.53067,1.51421,0.09822,0.41976,1.35653,0.07952,0.33183,1.47551,0.09485,0.26261,1.34566,0.10814,0.20791,1.35619,0.09182,0.16452,1.40012,0.1078,0.13007,1.38751,0.11199,0.10309,1.31112,0.13588,0.08153,1.3706,0.19516,0.06443,1.52573,0.19139,0.05102,1.61734,0.22765,0.04042,1.4076,0.2504,0.03192,1.49976,0.28572,0.02528,1.46625,0.29396,0.01999,1.58769,0.32439,23,77
01,15829.126,0.46078,0.00116,12516.703,0.46763,0.01086,9909.4424,0.41827,0.02188,7835.48,0.46577,0.03599,6217.2461,0.52355,0.03234,4905.291,0.53428,0.0506,3881.2737,0.50874,0.04629,3070.9827,0.51506,0.05413,2430.7778,0.51519,0.07764,1923.1537,0.49679,0.06459,1522.4358,0.59872,0.07135,1203.8446,0.51511,0.08755,952.86591,0.59128,0.09065,754.27557,0.55774,0.09769,596.71857,0.58905,0.10645,471.96338,0.60831,0.10328,373.20856,0.66734,0.11583,295.47278,0.61764,0.12039,233.87738,0.65466,0.13023,185.05922,0.72498,0.12707,146.35823,0.72529,0.12749,115.77804,0.67614,0.16112,91.6721,0.73242,0.1742,72.51701,0.78054,0.15479,57.36816,0.8056,0.17441,45.3629,0.72938,0.19873,35.93134,0.7617,0.21756,28.40909,0.94499,0.22891,22.48202,0.89662,0.19704,17.79613,0.89142,0.28084,14.06813,0.97606,0.27745,11.1448,1.08159,0.30996,8.81772,1.02492,0.30476,6.97545,1.04523,0.24514,5.5173,1.19741,0.2812,4.36941,1.25032,0.25776,3.45686,1.19285,0.23475,2.73547,1.23074,0.1974,2.16054,1.2859,0.16423,1.70952,1.23774,0.15442,1.35352,1.26058,0.12562,1.07079,1.34666,0.10681,0.84734,1.26766,0.08928,0.67072,1.41585,0.08192,0.53067,1.50901,0.09365,0.41976,1.52025,0.09407,0.33183,1.38744,0.09339,0.26261,1.27164,0.08776,0.20791,1.43167,0.1104,0.16452,1.35524,0.1102,0.13007,1.45226,0.11059,0.10309,1.47516,0.14084,0.08153,1.30688,0.15934,0.06443,1.46156,0.17513,0.05102,1.55224,0.20961,0.04042,1.41634,0.31269,0.03192,1.59192,0.338,0.02528,1.5739,0.31304,0.01999,1.5468,0.43197,24,86
